模式代码,模式名称,回测天数,选股总数,5日平均收益,5日中位收益,5日胜率,5日波动率,5日最大回撤,10日平均收益,10日中位收益,10日胜率,10日波动率,10日最大回撤,20日平均收益,20日中位收益,20日胜率,20日波动率,20日最大回撤
bi_trend_launch,毕师傅趋势,16,84,7.8397,3.3985,0.6071,17.0559,-1.5805,9.6653,4.3207,0.5833,19.8453,-1.5162,11.4013,4.1850,0.5952,25.5123,-1.2457
leader_afternoon,秋神午后,12,275,0.2769,-4.0854,0.3846,19.9686,-14878715199.8510,-0.7525,-5.9202,0.3686,21.5788,-16780614980.5591,-2.0805,-6.2455,0.3613,22.2173,-22367582041.8228
