ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
000725.SZ,20241231,MLED业务,P,8483421034.0,490104459.0,7993316575.0,CNY
000725.SZ,20240630,物联网创新业务,P,17155911452.0,1879145786.0,15276765666.0,CNY
000725.SZ,20240630,智慧健康服务,P,903706724.0,-742839.0,904449563.0,CNY
000725.SZ,20240630,显示器件业务,P,78013141508.0,10853072774.0,67160068734.0,CNY
000725.SZ,20240630,其他及合并抵销,P,-6883421819.0,2001110761.0,-8884532580.0,CNY
000725.SZ,20240630,传感器及解决方案事业,P,163437762.0,35345327.0,128092435.0,CNY
000725.SZ,20240630,传感业务,P,163437762.0,35345327.0,128092435.0,CNY
000725.SZ,20240630,事业,P,4033466005.0,169262347.0,3864203658.0,CNY
000725.SZ,20240630,MLED业务,P,4033466005.0,169262347.0,3864203658.0,CNY
000777.SZ,20251231,锻件,P,34527237.68,3420560.58,31106677.1,CNY
000777.SZ,20251231,石油石化,P,405749869.31,80030304.3,325719565.01,CNY
000777.SZ,20251231,核工程阀门总成,P,992191665.44,253501542.04,738690123.4,CNY
000777.SZ,20251231,其他阀门,P,279494735.67,31013125.16,248481610.51,CNY
000777.SZ,20251231,其他业务收入,P,19406724.57,2921459.23,16485265.34,CNY
000777.SZ,20250630,锻件毛坯,P,22647409.75,1918235.61,20729174.14,CNY
000777.SZ,20250630,石油石化,P,206060905.07,40692383.06,165368522.01,CNY
000777.SZ,20250630,核工程阀门总成,P,311031223.4,64124083.65,246907139.75,CNY
000777.SZ,20250630,其他阀门,P,156024165.47,23742517.08,132281648.39,CNY
000777.SZ,20250630,其他业务,P,8358955.26,7213899.83,1145055.43,CNY
000777.SZ,20241231,锻件,P,41239072.14,6712957.53,34526114.61,CNY
000777.SZ,20241231,石油石化,P,479331521.88,102744161.96,376587359.92,CNY
000777.SZ,20241231,核电核化工产品,P,838718216.67,203092991.38,635625225.29,CNY
000777.SZ,20241231,核工程阀门总成,P,838718216.67,203092991.38,635625225.29,CNY
000777.SZ,20241231,其他阀门,P,465250374.71,63940838.65,401309536.06,CNY
000777.SZ,20241231,其他业务收入,P,18907849.54,10779649.92,8128199.62,CNY
000777.SZ,20240630,锻件毛坯,P,20262504.41,1622048.08,18640456.33,CNY
000777.SZ,20240630,石油石化,P,180885611.91,40148669.78,140736942.13,CNY
000777.SZ,20240630,核工程阀门总成,P,245797421.93,79040600.07,166756821.86,CNY
000777.SZ,20240630,其他阀门,P,186292879.89,30672624.39,155620255.5,CNY
000777.SZ,20240630,其他业务收入,P,10198422.81,5737289.19,4461133.62,CNY
000837.SZ,20251231,零部件,P,1471863882.66,155186095.9,1316677786.76,CNY
000837.SZ,20251231,贸易类,P,17413513.73,8054856.81,9358656.92,CNY
000837.SZ,20251231,机床类,P,2064471807.55,412412833.46,1652058974.09,CNY
000837.SZ,20251231,工具类,P,370007630.74,79509172.7,290498458.04,CNY
000837.SZ,20251231,其他主营业务,P,26435529.67,3348776.15,23086753.52,CNY
000837.SZ,20251231,其他业务,P,50153215.47,39992321.39,10160894.08,CNY
000837.SZ,20251231,仪器仪表类,P,89527464.45,23493352.17,66034112.28,CNY
000837.SZ,20250630,零部件,P,797297762.87,98279669.75,699018093.12,CNY
000837.SZ,20250630,贸易类,P,21888197.16,4468187.3,17420009.86,CNY
000837.SZ,20250630,机床类,P,1032754890.88,190030398.59,842724492.29,CNY
000837.SZ,20250630,工具类,P,182434508.4,45671343.18,136763165.22,CNY
000837.SZ,20250630,其他主营业务,P,13893961.0,6093758.45,7800202.55,CNY
000837.SZ,20250630,其他业务,P,24932720.63,18678754.92,6253965.71,CNY
000837.SZ,20250630,仪器仪表类,P,38270861.31,8205733.7,30065127.61,CNY
000837.SZ,20241231,零部件,P,1373799905.13,133453146.68,1240346758.45,CNY
000837.SZ,20241231,贸易类,P,40857026.22,7080250.96,33776775.26,CNY
000837.SZ,20241231,机床类,P,1947172137.08,321490794.48,1625681342.6,CNY
000837.SZ,20241231,工具类,P,325699814.08,85251489.45,240448324.63,CNY
000837.SZ,20241231,其他主营业务,P,21930659.7,11935006.98,9995652.72,CNY
000837.SZ,20241231,其他业务,P,61368486.97,44218241.17,17150245.8,CNY
000837.SZ,20241231,仪器仪表类,P,88996441.76,20047906.87,68948534.89,CNY
000837.SZ,20240630,零部件,P,736451891.65,81888728.0,654563163.65,CNY
000837.SZ,20240630,贸易类,P,19933911.61,3503488.81,16430422.8,CNY
000837.SZ,20240630,机床类,P,1013005516.03,165918562.04,847086953.99,CNY
000837.SZ,20240630,工具类,P,165989898.06,53231147.06,112758751.0,CNY
000837.SZ,20240630,其他主营业务,P,13888401.03,6779373.73,7109027.3,CNY
000837.SZ,20240630,其他业务,P,30103906.65,23056692.11,7047214.54,CNY
000837.SZ,20240630,仪器仪表类,P,41894517.89,9776616.62,32117901.27,CNY
000977.SZ,20251231,服务器产品,P,154605252907.25,6985498767.26,147619754139.99,CNY
000977.SZ,20251231,存储类、交换类等产品,P,9771289490.62,854195153.22,8917094337.4,CNY
000977.SZ,20251231,其他业务,P,405455260.36,207299502.48,198155757.88,CNY
000977.SZ,20250630,服务器产品,P,75286192540.34,3249291834.71,72036900705.63,CNY
000977.SZ,20250630,存储类、交换类等产品,P,4836628802.69,366860900.11,4469767902.58,CNY
000977.SZ,20250630,其他业务,P,69611842.79,29755199.6,39856643.19,CNY
000977.SZ,20241231,服务器及部件,P,114001610921.77,7710554998.41,106291055923.36,CNY
000977.SZ,20241231,其他业务,P,295054134.34,135565691.17,159488443.17,CNY
000977.SZ,20241231,IT终端及散件,P,470701785.44,12606008.12,458095777.32,CNY
000977.SZ,20240630,服务器及部件,P,41880981189.58,3202449702.62,38678531486.96,CNY
000977.SZ,20240630,其他业务,P,120955529.2,50307636.25,70647892.95,CNY
