chain_name,chain_id,code,name,product,tier,total_score,pct_chg,price,pre_close,amount_yi,time,moat_score,growth_score,profit_score,stage_score,evidence_score
工业软件,industrial_software,300378.SZ,鼎捷数智,ERP/MES,暂不优先,33.7,2.240896358543409,36.5,35.7,2.3306578733000003,10:52:51,13.0,0.7,8.0,0.0,0.0
工业软件,industrial_software,300496.SZ,中科创达,操作系统/边缘,第二梯队,76.4,1.7839607201309269,62.19,61.1,4.9322316652,10:52:51,19.0,3.4,9.0,18.0,18.0
工业软件,industrial_software,688083.SH,中望软件,CAD,第二梯队,72.0,-0.9428032683846659,63.04,63.64,1.92875888,10:52:52,19.0,0.0,8.0,12.0,18.0
工业软件,industrial_software,688228.SH,开普云,政企软件,暂不优先,32.0,-1.453672102136273,77.96,79.11,0.60432866,10:52:52,13.0,0.0,8.0,0.0,0.0
工业软件,industrial_software,688111.SH,XD金山办,基础软件,观察池,65.8,-2.107608746112062,210.87,215.41,8.03095959,10:52:52,17.0,14.4,12.0,6.0,2.4
工业软件,industrial_software,688206.SH,概伦电子,EDA,第二梯队,75.4,-2.3931226765799285,42.01,43.04,2.72403635,10:52:52,19.0,1.4,8.0,18.0,18.0
智能制造,intelligent_manufacturing,002747.SZ,埃斯顿,工业机器人,第一梯队,86.4,10.0,44.77,40.7,50.5938815524,10:52:51,16.0,11.0,8.4,18.0,18.0
智能制造,intelligent_manufacturing,002008.SZ,大族激光,激光装备,第一梯队,85.9,5.831533477321819,132.3,125.01,39.5664252102,10:52:51,16.0,9.0,9.9,18.0,18.0
智能制造,intelligent_manufacturing,300124.SZ,汇川技术,自动化/伺服,第一梯队,78.4,4.049707602339176,71.17,68.4,34.5251385632,10:52:51,16.0,4.3,10.1,18.0,18.0
智能制造,intelligent_manufacturing,688686.SH,奥普特,机器视觉,第一梯队,83.5,3.4909090909090854,170.76,165.0,2.88661043,10:52:52,16.0,5.5,10.1,18.0,18.0
智能制造,intelligent_manufacturing,688777.SH,中控技术,工业自动化,第二梯队,70.5,2.5339805825242716,105.61,103.0,13.49327258,10:52:51,16.0,0.0,8.5,18.0,18.0
智能制造,intelligent_manufacturing,688188.SH,柏楚电子,激光切割控制,暂不优先,43.1,0.7510431154381106,108.66,107.85,2.05395681,10:52:52,10.0,7.1,12.0,0.0,0.0
未来健康,future_health,688277.SH,天智航,手术机器人,暂不优先,46.0,3.5077630822311643,18.0,17.39,1.09162864,10:52:52,15.0,0.0,8.0,6.0,4.0
未来健康,future_health,688235.SH,百济神州,创新药,第二梯队,76.4,1.4868275753273315,257.33,253.56,12.15550224,10:52:52,17.0,11.4,12.0,12.0,10.0
未来健康,future_health,688271.SH,联影医疗,高端医疗影像,第二梯队,74.2,0.808625336927227,104.72,103.88,4.7032178,10:52:50,17.0,3.0,9.8,18.0,12.4
未来健康,future_health,300760.SZ,迈瑞医疗,医疗器械,第二梯队,77.0,-0.3160919540229869,138.76,139.2,9.2378302986,10:52:51,17.0,0.0,12.0,18.0,18.0
未来健康,future_health,300015.SZ,爱尔眼科,医疗服务,观察池,63.9,-0.3546099290780276,8.43,8.46,3.8203766738,10:52:51,17.0,1.7,12.0,6.0,13.2
未来健康,future_health,688331.SH,荣昌生物,ADC创新药,第二梯队,76.7,-1.3883944464222064,138.5,140.45,10.6218957,10:52:51,15.0,14.5,12.0,12.0,5.2
未来显示,future_display,688387.SH,信科移动,显示非核心观察,暂不优先,29.5,9.119496855345924,20.82,19.08,12.51968507,10:52:51,10.0,0.0,5.5,0.0,0.0
未来显示,future_display,300296.SZ,利亚德,MicroLED,第二梯队,74.1,3.1481481481481466,5.57,5.4,3.7166743517,10:52:51,16.0,0.0,8.1,18.0,18.0
未来显示,future_display,688538.SH,和辉光电,OLED,第二梯队,65.6,-3.9062500000000036,2.46,2.56,2.80547338,10:52:51,16.0,0.0,0.0,18.0,17.6
未来显示,future_display,000100.SZ,TCL科技,显示面板,第一梯队,79.4,-4.054054054054058,5.68,5.92,58.8164211296,10:52:51,16.0,8.8,2.6,18.0,18.0
未来显示,future_display,000725.SZ,京东方Ａ,显示面板,第二梯队,77.7,-5.054945054945045,8.64,9.1,212.19547338810003,10:52:51,16.0,4.5,5.2,18.0,18.0
未来显示,future_display,000050.SZ,深天马Ａ,中小尺寸显示,第二梯队,72.4,-5.252317198764176,9.2,9.71,4.7357840143,10:52:51,16.0,0.0,4.4,18.0,18.0
未来材料,future_materials,300699.SZ,光威复材,碳纤维,第一梯队,80.5,5.281690140845071,29.9,28.4,6.953885569,10:52:51,18.0,0.4,10.1,18.0,18.0
未来材料,future_materials,300034.SZ,钢研高纳,高温合金,第二梯队,73.4,5.266272189349117,17.79,16.9,2.5046174431,10:52:51,18.0,0.0,8.4,18.0,18.0
未来材料,future_materials,688295.SH,中复神鹰,碳纤维,第一梯队,84.7,3.3616619452313388,54.73,52.95,3.51858536,10:52:52,18.0,15.0,5.7,18.0,18.0
未来材料,future_materials,300285.SZ,国瓷材料,先进陶瓷,暂不优先,38.6,3.146890828753085,95.71,92.79,47.790553766,10:52:51,12.0,5.6,10.0,0.0,0.0
未来材料,future_materials,300224.SZ,正海磁材,稀土永磁,观察池,61.9,2.027516292541632,14.09,13.81,3.2140997491000003,10:52:51,18.0,1.8,4.1,18.0,4.0
未来材料,future_materials,688122.SH,西部超导,高温合金/超导,暂不优先,26.0,1.7452006980802792,58.3,57.3,4.83618646,10:52:52,12.0,0.0,7.0,0.0,0.0
未来空间/商业航天,future_space,600118.SH,中国卫星,卫星制造,第二梯队,68.5,4.62576687116564,85.27,81.5,37.46430676,10:52:50,19.0,0.0,3.5,18.0,18.0
未来空间/商业航天,future_space,300045.SZ,华力创通,卫星通信,第二梯队,73.8,1.7169923031379466,17.18,16.89,1.65457356,10:52:51,19.0,0.0,7.8,18.0,18.0
未来空间/商业航天,future_space,002151.SZ,北斗星通,北斗芯片,第一梯队,85.3,1.595405232929164,31.84,31.34,2.7297841212000002,10:52:48,19.0,9.0,8.3,18.0,18.0
未来空间/商业航天,future_space,002025.SZ,航天电器,航天连接器,第一梯队,78.1,1.1672683513838735,84.07,83.1,15.8028786627,10:52:51,19.0,0.0,8.1,18.0,18.0
