code,date,name,reason
603890,2026-06-01,春秋电子,封单金额不足7亿
002426,2026-06-01,胜利精密,封单金额不足7亿
300956,2026-06-01,英力股份,封单金额不足7亿
300197,2026-06-01,节能铁汉,封单金额不足7亿
000539,2026-06-01,粤电力A,封单金额不足7亿
603890,2026-06-02,春秋电子,封单金额不足7亿
600403,2026-06-02,大有能源,封单金额不足7亿
600255,2026-06-03,鑫科材料,封单金额不足7亿
600688,2026-06-03,上海石化,封单金额不足7亿
301366,2026-06-03,一博科技,封单金额不足7亿
603330,2026-06-03,天洋新材,封单金额不足7亿
600688,2026-06-04,上海石化,封单金额不足7亿
600403,2026-06-04,大有能源,封单金额不足7亿
300897,2026-06-04,山科智能,封单金额不足7亿
603500,2026-06-05,祥和实业,封单金额不足7亿
603888,2026-06-05,新华网,封单金额不足7亿
002354,2026-06-05,天娱数科,封单金额不足7亿
603616,2026-06-08,韩建河山,封单金额不足7亿
603065,2026-06-09,宿迁联盛,封单金额不足7亿
002669,2026-06-09,康达新材,封单金额不足7亿
603616,2026-06-09,韩建河山,封单金额不足7亿
605081,2026-06-09,退市太和,封单金额不足7亿
605589,2026-06-10,圣泉集团,封单金额不足7亿
002971,2026-06-10,和远气体,封单金额不足7亿
603065,2026-06-10,宿迁联盛,封单金额不足7亿
600500,2026-06-10,中化国际,封单金额不足7亿
002757,2026-06-10,南兴股份,封单金额不足7亿
600141,2026-06-11,兴发集团,封单金额不足7亿
600500,2026-06-11,中化国际,封单金额不足7亿
600378,2026-06-11,昊华科技,封单金额不足7亿
002971,2026-06-11,和远气体,封单金额不足7亿
603065,2026-06-11,宿迁联盛,封单金额不足7亿
301580,2026-06-11,爱迪特,封单金额不足7亿
000631,2026-06-11,顺发恒能,封单金额不足7亿
002203,2026-06-11,海亮股份,封单金额不足7亿
601958,2026-06-12,金钼股份,昨日已涨停
000768,2026-06-12,中航西飞,封单金额不足7亿
001257,2026-06-12,盛龙股份,封单金额不足7亿
603065,2026-06-12,宿迁联盛,封单金额不足7亿
603335,2026-06-12,迪生力,封单金额不足7亿
601872,2026-06-15,招商轮船,封单金额不足7亿
601975,2026-06-15,招商南油,封单金额不足7亿
603335,2026-06-15,迪生力,封单金额不足7亿
000510,2026-06-15,新金路,封单金额不足7亿
600026,2026-06-15,中远海能,封单金额不足7亿
603738,2026-06-15,泰晶科技,封单金额不足7亿
600110,2026-06-16,诺德股份,昨日已涨停
600353,2026-06-16,旭光电子,封单金额不足7亿
000777,2026-06-16,中核科技,封单金额不足7亿
002741,2026-06-16,光华科技,封单金额不足7亿
002160,2026-06-16,常铝股份,封单金额不足7亿
002735,2026-06-16,王子新材,封单金额不足7亿
002449,2026-06-16,国星光电,封单金额不足7亿
605198,2026-06-16,安德利,封单金额不足7亿
600110,2026-06-17,诺德股份,封单金额不足7亿
000811,2026-06-17,冰轮环境,封单金额不足7亿
601636,2026-06-17,旗滨集团,封单金额不足7亿
000777,2026-06-17,中核科技,封单金额不足7亿
002167,2026-06-18,东方锆业,封单金额不足7亿
000811,2026-06-18,冰轮环境,封单金额不足7亿
301580,2026-06-18,爱迪特,封单金额不足7亿
603407,2026-06-18,长裕集团,封单金额不足7亿
600769,2026-06-18,祥龙电业,封单金额不足7亿
000889,2026-06-18,中嘉博创,封单金额不足7亿
001216,2026-06-18,华瓷股份,封单金额不足7亿
002167,2026-06-19,东方锆业,封单金额不足7亿
000811,2026-06-19,冰轮环境,封单金额不足7亿
301580,2026-06-19,爱迪特,封单金额不足7亿
603407,2026-06-19,长裕集团,封单金额不足7亿
600769,2026-06-19,祥龙电业,封单金额不足7亿
000889,2026-06-19,中嘉博创,封单金额不足7亿
001216,2026-06-19,华瓷股份,封单金额不足7亿
002167,2026-06-22,东方锆业,昨日已涨停
002674,2026-06-22,兴业科技,封单金额不足7亿
600172,2026-06-22,黄河旋风,封单金额不足7亿
600353,2026-06-22,旭光电子,封单金额不足7亿
603407,2026-06-22,长裕集团,封单金额不足7亿
002297,2026-06-22,博云新材,封单金额不足7亿
000751,2026-06-22,锌业股份,封单金额不足7亿
