trade_date,trigger_stock_count,trigger_stocks,concept_count,concepts,bond_count,evaluable_trades,wins,win_rate,avg_return_pct
2026-04-01,0,,0,,0,0,0,,
2026-04-02,0,,0,,0,0,0,,
2026-04-03,0,,0,,0,0,0,,
2026-04-07,0,,0,,0,0,0,,
2026-04-08,1,"东山精密(002384,封单11.51亿)",2,2026一季报预增、行业龙头,50,8,8,100.0,1.8383
2026-04-09,1,"中恒电气(002364,封单10.42亿)",2,其他电源设备、其他电源设备Ⅲ,11,1,1,100.0,2.5354
2026-04-10,0,,0,,0,0,0,,
2026-04-13,1,"博云新材(002297,封单6.6亿)",2,成飞概念、碳纤维,32,7,3,42.8571,-0.1188
2026-04-14,0,,0,,0,0,0,,
2026-04-15,0,,0,,0,0,0,,
2026-04-16,0,,0,,0,0,0,,
2026-04-17,0,,0,,0,0,0,,
2026-04-20,0,,0,,0,0,0,,
2026-04-21,1,"安诺其(300067,封单5.73亿)",2,纺织化学用品、多模态AI,22,6,1,16.6667,-2.7176
2026-04-22,0,,0,,0,0,0,,
2026-04-23,0,,0,,0,0,0,,
2026-04-24,0,,0,,0,0,0,,
2026-04-27,0,,0,,0,0,0,,
2026-04-28,1,"利通电子(603629,封单5.52亿)",2,OLED、百元股,50,16,2,12.5,-1.5646
2026-04-29,0,,0,,0,0,0,,
2026-04-30,0,,0,,0,0,0,,
