code,name,reason,trade_date
301302,华如科技,封单金额不足5亿,2026-03-02
600722,金牛化工,封单金额不足5亿,2026-03-02
601975,招商南油,封单金额不足5亿,2026-03-02
300164,通源石油,封单金额不足5亿,2026-03-02
600871,石化油服,封单金额不足5亿,2026-03-02
603619,中曼石油,封单金额不足5亿,2026-03-02
600108,亚盛集团,封单金额不足5亿,2026-03-02
600714,金瑞矿业,封单金额不足5亿,2026-03-02
002980,华盛昌,封单金额不足5亿,2026-03-02
000554,泰山石油,封单金额不足5亿,2026-03-02
002490,山东墨龙,封单金额不足5亿,2026-03-02
600026,中远海能,封单金额不足5亿,2026-03-02
002207,准油股份,封单金额不足5亿,2026-03-02
600339,中油工程,封单金额不足5亿,2026-03-02
000035,中国天楹,封单金额不足5亿,2026-03-02
600367,红星发展,封单金额不足5亿,2026-03-02
002828,贝肯能源,封单金额不足5亿,2026-03-02
603488,展鹏科技,封单金额不足5亿,2026-03-02
002109,兴化股份,封单金额不足5亿,2026-03-02
601808,中海油服,封单金额不足5亿,2026-03-02
600759,洲际油气,昨日已涨停,2026-03-03
601975,招商南油,昨日已涨停,2026-03-03
600871,石化油服,封单金额不足5亿,2026-03-03
002490,山东墨龙,封单金额不足5亿,2026-03-03
603318,水发燃气,封单金额不足5亿,2026-03-03
002207,准油股份,封单金额不足5亿,2026-03-03
000407,胜利股份,封单金额不足5亿,2026-03-03
600722,金牛化工,封单金额不足5亿,2026-03-03
000554,泰山石油,封单金额不足5亿,2026-03-03
000968,蓝焰控股,封单金额不足5亿,2026-03-03
002957,科瑞技术,封单金额不足5亿,2026-03-03
600714,金瑞矿业,封单金额不足5亿,2026-03-03
002980,华盛昌,封单金额不足5亿,2026-03-03
600759,洲际油气,昨日已涨停,2026-03-04
002490,山东墨龙,封单金额不足5亿,2026-03-04
603318,水发燃气,封单金额不足5亿,2026-03-04
600871,石化油服,封单金额不足5亿,2026-03-04
002498,汉缆股份,封单金额不足5亿,2026-03-05
605268,王力安防,封单金额不足5亿,2026-03-05
000533,顺钠股份,封单金额不足5亿,2026-03-05
002429,兆驰股份,封单金额不足5亿,2026-03-05
300323,华灿光电,封单金额不足5亿,2026-03-05
600545,卓郎智能,封单金额不足5亿,2026-03-05
002877,智能自控,封单金额不足5亿,2026-03-05
002449,国星光电,封单金额不足5亿,2026-03-05
605268,王力安防,昨日已涨停,2026-03-06
000533,顺钠股份,封单金额不足5亿,2026-03-06
601567,三星医疗,封单金额不足5亿,2026-03-06
605268,王力安防,昨日已涨停,2026-03-09
600821,金开新能,昨日已涨停,2026-03-09
002445,中南文化,封单金额不足5亿,2026-03-09
601789,宁波建工,封单金额不足5亿,2026-03-09
600227,赤天化,封单金额不足5亿,2026-03-09
605268,王力安防,昨日已涨停,2026-03-10
002445,中南文化,封单金额不足5亿,2026-03-10
601789,宁波建工,封单金额不足5亿,2026-03-10
000537,绿发电力,封单金额不足5亿,2026-03-10
603803,瑞斯康达,封单金额不足5亿,2026-03-10
002445,中南文化,封单金额不足5亿,2026-03-11
002455,百川股份,封单金额不足5亿,2026-03-11
603803,瑞斯康达,封单金额不足5亿,2026-03-11
601700,风范股份,封单金额不足5亿,2026-03-11
000839,国安股份,封单金额不足5亿,2026-03-11
002248,华东数控,封单金额不足5亿,2026-03-11
002445,中南文化,封单金额不足5亿,2026-03-12
000420,吉林化纤,封单金额不足5亿,2026-03-12
688295,中复神鹰,封单金额不足5亿,2026-03-12
600370,三房巷,封单金额不足5亿,2026-03-12
002254,泰和新材,封单金额不足5亿,2026-03-12
002445,中南文化,封单金额不足5亿,2026-03-13
603929,亚翔集成,封单金额不足5亿,2026-03-13
600121,郑州煤电,封单金额不足5亿,2026-03-13
000677,恒天海龙,封单金额不足5亿,2026-03-13
600691,潞化科技,封单金额不足5亿,2026-03-13
000617,中油资本,封单金额不足5亿,2026-03-16
600396,华电辽能,封单金额不足5亿,2026-03-16
002086,东方海洋,封单金额不足5亿,2026-03-16
000020,深华发Ａ,封单金额不足5亿,2026-03-17
002565,顺灏股份,封单金额不足5亿,2026-03-17
605277,新亚电子,封单金额不足5亿,2026-03-17
000020,深华发Ａ,昨日已涨停,2026-03-18
000601,韶能股份,封单金额不足5亿,2026-03-18
600396,华电辽能,封单金额不足5亿,2026-03-18
000539,粤电力Ａ,封单金额不足5亿,2026-03-18
000020,深华发Ａ,昨日已涨停,2026-03-19
000601,韶能股份,封单金额不足5亿,2026-03-19
603687,大胜达,封单金额不足5亿,2026-03-19
002109,兴化股份,封单金额不足5亿,2026-03-19
000020,深华发Ａ,昨日已涨停,2026-03-20
603687,大胜达,封单金额不足5亿,2026-03-20
000677,恒天海龙,封单金额不足5亿,2026-03-20
002309,中利集团,封单金额不足5亿,2026-03-23
300385,雪浪环境,封单金额不足5亿,2026-03-23
603687,大胜达,封单金额不足5亿,2026-03-23
002309,中利集团,封单金额不足5亿,2026-03-24
000720,新能泰山,封单金额不足5亿,2026-03-24
603759,海天股份,封单金额不足5亿,2026-03-24
600666,奥瑞德,封单金额不足5亿,2026-03-25
002902,铭普光磁,封单金额不足5亿,2026-03-25
000720,新能泰山,封单金额不足5亿,2026-03-25
600758,辽宁能源,封单金额不足5亿,2026-03-25
000722,湖南发展,封单金额不足5亿,2026-03-25
000859,国风新材,封单金额不足5亿,2026-03-25
000889,中嘉博创,封单金额不足5亿,2026-03-25
002471,中超控股,封单金额不足5亿,2026-03-26
000720,新能泰山,封单金额不足5亿,2026-03-26
600163,中闽能源,封单金额不足5亿,2026-03-26
000965,天保基建,封单金额不足5亿,2026-03-26
000720,新能泰山,封单金额不足5亿,2026-03-27
600310,广西能源,封单金额不足5亿,2026-03-27
600996,贵广网络,封单金额不足5亿,2026-03-27
002160,常铝股份,封单金额不足5亿,2026-03-30
301008,宏昌科技,封单金额不足5亿,2026-03-30
002578,闽发铝业,封单金额不足5亿,2026-03-30
002675,东诚药业,封单金额不足5亿,2026-03-30
002810,山东赫达,封单金额不足5亿,2026-03-30
688693,锴威特,封单金额不足5亿,2026-03-30
000631,顺发恒能,封单金额不足5亿,2026-03-31
