date,rank,cb_code,cb_name,stk_code,stk_name,theme_score,concepts,trigger_sources,risk_notes,ret_oc_pct,high_from_open_pct,low_from_open_pct,relation_reason
2026-06-09,16,110807.SH,动力定01,600482,中国动力,1166.1878,储能、军工、固态电池、新能源汽车、核电、沪股通、石墨烯、融资融券、钠离子电池、锂电池概念、风电,605589,退市日期2024-12-05,,,,命中储能、军工、固态电池、新能源汽车、核电、沪股通、石墨烯、融资融券、钠离子电池、锂电池概念、风电
2026-06-09,17,110808.SH,动力定02,600482,中国动力,1166.1878,储能、军工、固态电池、新能源汽车、核电、沪股通、石墨烯、融资融券、钠离子电池、锂电池概念、风电,605589,退市日期2026-03-23,,,,命中储能、军工、固态电池、新能源汽车、核电、沪股通、石墨烯、融资融券、钠离子电池、锂电池概念、风电
2026-06-09,18,113551.SH,福特转债,603806,福斯特,1166.1878,PCB概念、中证500成份股、储能、商业航天、固态电池、增持计划、沪股通、社保新进、融资融券、钠离子电池、锂电池概念,605589,退市日期2020-07-16,,,,命中PCB概念、中证500成份股、储能、商业航天、固态电池、增持计划、沪股通、社保新进、融资融券、钠离子电池、锂电池概念
2026-06-09,19,113611.SH,福20转债,603806,福斯特,1166.1878,PCB概念、中证500成份股、储能、商业航天、固态电池、增持计划、沪股通、社保新进、融资融券、钠离子电池、锂电池概念,605589,退市日期2021-07-29,,,,命中PCB概念、中证500成份股、储能、商业航天、固态电池、增持计划、沪股通、社保新进、融资融券、钠离子电池、锂电池概念
2026-06-09,20,113630.SH,赛伍转债,603212,赛伍技术,1166.1878,OLED、储能、先进封装、固态电池、新能源汽车、沪股通、芯片概念、融资融券、锂电池概念、风电、高铁,605589,强赎中；退市日期2022-08-01,,,,命中OLED、储能、先进封装、固态电池、新能源汽车、沪股通、芯片概念、融资融券、锂电池概念、风电、高铁
2026-06-09,21,113661.SH,福22转债,603806,福斯特,1166.1878,PCB概念、中证500成份股、储能、商业航天、固态电池、增持计划、沪股通、社保新进、融资融券、钠离子电池、锂电池概念,605589,成交额偏低1.3万；剩余规模30.30亿,-0.8067809725794813,0.35323536366046054,-2.2691610480987636,命中PCB概念、中证500成份股、储能、商业航天、固态电池、增持计划、沪股通、社保新进、融资融券、钠离子电池、锂电池概念
2026-06-09,22,118023.SH,广大转债,688186,广大特材,1166.1878,储能、军工、增持计划、大飞机、核电、沪股通、芯片概念、融资融券、风电、高端装备、高铁,605589,强赎中；退市日期2025-08-25,,,,命中储能、军工、增持计划、大飞机、核电、沪股通、芯片概念、融资融券、风电、高端装备、高铁
2026-06-09,23,118053.SH,正帆转债,688596,正帆科技,1166.1878,上证380成份股、储能、合成生物、存储芯片、沪股通、社保新进、芯片概念、融资融券、锂电池概念、高端装备、高贝塔值,605589,成交额偏低10.0万；剩余规模10.41亿,7.228344669688217,7.747658747905723,-0.6414663613971981,命中上证380成份股、储能、合成生物、存储芯片、沪股通、社保新进、芯片概念、融资融券、锂电池概念、高端装备、高贝塔值
2026-06-09,24,123036.SZ,先导转债,300450,先导智能,1166.1878,3D打印、OLED、PCB概念、中证500成份股、储能、固态电池、新能源汽车、融资融券、钠离子电池、锂电池概念、高端装备,605589,退市日期2020-12-18,,,,命中3D打印、OLED、PCB概念、中证500成份股、储能、固态电池、新能源汽车、融资融券、钠离子电池、锂电池概念、高端装备
2026-06-09,25,125009.SZ,宝安转券,000009,中国宝安,1166.1878,3D打印、中证500成份股、储能、军工、固态电池、新能源汽车、石墨烯、硅能源、融资融券、钠离子电池、锂电池概念,605589,退市日期1996-01-01,,,,命中3D打印、中证500成份股、储能、军工、固态电池、新能源汽车、石墨烯、硅能源、融资融券、钠离子电池、锂电池概念
2026-06-09,26,125969.SZ,安泰转债,000969,安泰科技,1166.1878,3D打印、OLED、军工、商业航天、固态电池、大飞机、新能源汽车、核电、芯片概念、融资融券、高贝塔值,605589,退市日期2010-06-23,,,,命中3D打印、OLED、军工、商业航天、固态电池、大飞机、新能源汽车、核电、芯片概念、融资融券、高贝塔值
2026-06-09,27,113029.SH,明阳转债,601615,明阳智能,1066.1878,中证500成份股、储能、光伏建筑一体化、商业航天、沪股通、绿色电力、芯片概念、融资融券、风电、高端装备,605589,退市日期2021-03-19,,,,命中中证500成份股、储能、光伏建筑一体化、商业航天、沪股通、绿色电力、芯片概念、融资融券、风电、高端装备
2026-06-09,28,113504.SH,艾华转债,603989,艾华集团,1066.1878,上证380成份股、储能、军工、固态电池、新能源汽车、最近多板、沪股通、社保新进、融资融券、近期强势,605589,公告到期赎回；退市日期2024-03-04,,,,命中上证380成份股、储能、军工、固态电池、新能源汽车、最近多板、沪股通、社保新进、融资融券、近期强势
2026-06-09,29,113697.SH,应流转债,603308,应流股份,1066.1878,3D打印、中证500成份股、军工、商业航天、大飞机、核电、沪股通、融资融券、风电、高端装备,605589,成交额偏低5.2万；剩余规模15.00亿,2.8794381584081137,3.6987904799063442,-3.500585251658216,命中3D打印、中证500成份股、军工、商业航天、大飞机、核电、沪股通、融资融券、风电、高端装备
2026-06-09,30,123158.SZ,宙邦转债,300037,新宙邦,1066.1878,OLED、中证500成份股、先进封装、固态电池、新能源汽车、芯片概念、融资融券、超级电容、钠离子电池、锂电池概念,605589,成交额偏低7.9万；剩余规模18.05亿,4.862919445326552,4.862919445326552,-0.9260082565893983,命中OLED、中证500成份股、先进封装、固态电池、新能源汽车、芯片概念、融资融券、超级电容、钠离子电池、锂电池概念
2026-06-09,31,123212.SZ,立中转债,300428,立中集团,1066.1878,3D打印、军工、商业航天、固态电池、大飞机、新能源汽车、芯片概念、融资融券、钠离子电池、锂电池概念,605589,强赎中；退市日期2025-12-25,,,,命中3D打印、军工、商业航天、固态电池、大飞机、新能源汽车、芯片概念、融资融券、钠离子电池、锂电池概念
2026-06-09,32,128109.SZ,楚江转债,002171,楚江新材,1066.1878,3D打印、PCB概念、军工、商业航天、固态电池、大飞机、新能源汽车、融资融券、锂电池概念、风电,605589,强赎中；退市日期2025-08-22,,,,命中3D打印、PCB概念、军工、商业航天、固态电池、大飞机、新能源汽车、融资融券、锂电池概念、风电
