trade_date,rank,cb_code,cb_name,stk_code,stk_name,matched_concepts,trigger_sources,theme_score,relation_reason,risk_notes,open,close,return_pct
2026-04-08,1,123255.SZ,鼎龙转债,300054,鼎龙股份,2026一季报预增、行业龙头,002384,221.5056,命中2026一季报预增、行业龙头,成交额偏低4.9万,240.8,245.635,2.0079
2026-04-08,2,125960.SZ,锡业转债,000960,锡业股份,2026一季报预增、行业龙头,002384,221.5056,命中2026一季报预增、行业龙头,退市日期2010-12-14,,,
2026-04-08,3,100096.SH,云化转债,600096,云天化,行业龙头,002384,121.5056,命中行业龙头,退市日期2006-09-09,,,
2026-04-08,4,100177.SH,雅戈转债,600177,雅戈尔,行业龙头,002384,121.5056,命中行业龙头,退市日期2006-04-10,,,
2026-04-08,5,100196.SH,复星转债,600196,复星医药,行业龙头,002384,121.5056,命中行业龙头,退市日期2006-07-24,,,
2026-04-08,6,110015.SH,石化转债,600028,中国石化,行业龙头,002384,121.5056,命中行业龙头,退市日期2015-02-17,,,
2026-04-08,7,110017.SH,中海转债,600026,中远海能,行业龙头,002384,121.5056,命中行业龙头,退市日期2015-02-13,,,
2026-04-08,8,110026.SH,中海转债,600026,中远海能,行业龙头,002384,121.5056,命中行业龙头,退市日期2008-04-09,,,
2026-04-08,9,110027.SH,东方转债,600875,东方电气,行业龙头,002384,121.5056,命中行业龙头,退市日期2015-02-27,,,
2026-04-08,10,110032.SH,三一转债,600031,三一重工,行业龙头,002384,121.5056,命中行业龙头,退市日期2019-03-26,,,
2026-04-08,11,110034.SH,九州转债,600998,九州通,行业龙头,002384,121.5056,命中行业龙头,退市日期2022-01-17,,,
2026-04-08,12,110039.SH,宝信转债,600845,宝信软件,行业龙头,002384,121.5056,命中行业龙头,退市日期2018-07-13,,,
2026-04-08,13,110042.SH,航电转债,600372,中航机载,行业龙头,002384,121.5056,命中行业龙头,退市日期2020-09-08,,,
