trade_date,rank,cb_code,cb_name,stk_code,stk_name,theme_score,matched_concepts,trigger_sources,risk_notes,open,close,t0_return_pct
2026-06-09,48,127038.SZ,国微转债,002049,紫光国微,117.1878,存储芯片,605589,成交额偏低1.0万；剩余规模14.92亿,130.046,133.933,2.988942374236809
2026-06-09,49,127051.SZ,博杰转债,002975,博杰股份,117.1878,存储芯片,605589,强赎中；退市日期2025-05-08,,,
2026-06-09,50,127064.SZ,杭氧转债,002430,杭氧股份,117.1878,存储芯片,605589,成交额偏低0.7万；剩余规模11.36亿,139.0,140.828,1.3151079136690669
2026-06-29,1,110006.SH,龙盛转债,600352,浙江龙盛,216.0397,中证500成份股、化学制品,002407,退市日期2010-05-12,,,
2026-06-29,2,127064.SZ,杭氧转债,002430,杭氧股份,216.0397,中证500成份股、化学制品,002407,剩余规模11.36亿,,,
2026-06-29,3,100096.SH,云化转债,600096,云天化,116.0397,中证500成份股,002407,退市日期2006-09-09,,,
2026-06-29,4,100177.SH,雅戈转债,600177,雅戈尔,116.0397,中证500成份股,002407,退市日期2006-04-10,,,
2026-06-29,5,110021.SH,上电转债,600021,上海电力,116.0397,中证500成份股,002407,退市日期2007-08-27,,,
2026-06-29,6,110024.SH,隧道转债,600820,隧道股份,116.0397,中证500成份股,002407,退市日期2014-12-18,,,
2026-06-29,7,110025.SH,国金转债,600109,国金证券,116.0397,中证500成份股,002407,退市日期2015-01-09,,,
2026-06-29,8,110034.SH,九州转债,600998,九州通,116.0397,中证500成份股,002407,退市日期2022-01-17,,,
2026-06-29,9,110035.SH,白云转债,600004,白云机场,116.0397,中证500成份股,002407,退市日期2017-06-13,,,
2026-06-29,10,110038.SH,济川转债,600566,济川药业,116.0397,中证500成份股,002407,公告到期赎回；退市日期2022-11-14,,,
2026-06-29,11,110041.SH,蒙电转债,600863,华能蒙电,116.0397,中证500成份股,002407,退市日期2021-11-05,,,
2026-06-29,12,110045.SH,海澜转债,600398,海澜之家,116.0397,中证500成份股,002407,强赎中；退市日期2024-04-03,,,
2026-06-29,13,110048.SH,福能转债,600483,福能股份,116.0397,中证500成份股,002407,公告到期赎回；退市日期2024-12-09,,,
2026-06-29,14,110056.SH,亨通转债,600487,亨通光电,116.0397,中证500成份股,002407,强赎中；退市日期2022-12-06,,,
2026-06-29,15,110058.SH,永鼎转债,600105,永鼎股份,116.0397,中证500成份股,002407,强赎中；退市日期2024-12-20,,,
2026-06-29,16,110062.SH,烽火转债,600498,烽火通信,116.0397,中证500成份股,002407,公告到期赎回；退市日期2025-12-02,,,
2026-06-29,17,110065.SH,淮矿转债,600985,淮北矿业,116.0397,中证500成份股,002407,退市日期2021-07-02,,,
2026-06-29,18,110066.SH,盛屯转债,600711,盛屯矿业,116.0397,中证500成份股,002407,强赎中；退市日期2022-03-18,,,
2026-06-29,19,110067.SH,华安转债,600909,华安证券,116.0397,中证500成份股,002407,公告到期赎回；退市日期2026-03-12,,,
2026-06-29,20,110076.SH,华海转债,600521,华海药业,116.0397,中证500成份股,002407,剩余规模18.42亿,,,
2026-06-29,21,110082.SH,宏发转债,600885,宏发股份,116.0397,中证500成份股,002407,强赎中；退市日期2025-12-12,,,
2026-06-29,22,110083.SH,苏租转债,600901,江苏金租,116.0397,中证500成份股,002407,强赎中；退市日期2024-10-18,,,
2026-06-29,23,110088.SH,淮22转债,600985,淮北矿业,116.0397,中证500成份股,002407,强赎中；退市日期2024-04-03,,,
2026-06-29,24,110089.SH,兴发转债,600141,兴发集团,116.0397,中证500成份股,002407,强赎中；退市日期2026-03-04,,,
2026-06-29,25,110099.SH,福能转债,600483,福能股份,116.0397,中证500成份股,002407,剩余规模38.02亿,,,
2026-06-29,26,110398.SH,凯诺转债,600398,海澜之家,116.0397,中证500成份股,002407,退市日期2007-10-26,,,
2026-06-29,27,110598.SH,大荒转债,600598,北大荒,116.0397,中证500成份股,002407,退市日期2010-03-12,,,
2026-06-29,28,110803.SH,国泰定01,603977,国泰集团,116.0397,化学制品,002407,退市日期2022-09-29,,,
2026-06-29,29,110804.SH,国泰定02,603977,国泰集团,116.0397,化学制品,002407,退市日期2022-03-09,,,
2026-06-29,30,111007.SH,永和转债,605020,永和股份,116.0397,化学制品,002407,强赎中；退市日期2025-10-10,,,
2026-06-29,31,111010.SH,立昂转债,605358,立昂微,116.0397,中证500成份股,002407,强赎中；退市日期2026-06-18,,,
2026-06-29,32,111018.SH,华康转债,605077,华康股份,116.0397,化学制品,002407,剩余规模13.02亿,,,
2026-06-29,33,111019.SH,宏柏转债,605366,宏柏新材,116.0397,化学制品,002407,强赎中；退市日期2026-03-23,,,
2026-06-29,34,113006.SH,深燃转债,601139,深圳燃气,116.0397,中证500成份股,002407,退市日期2015-05-08,,,
2026-06-29,35,113018.SH,常熟转债,601128,常熟银行,116.0397,中证500成份股,002407,退市日期2019-05-23,,,
2026-06-29,36,113019.SH,玲珑转债,601966,玲珑轮胎,116.0397,中证500成份股,002407,退市日期2020-09-04,,,
2026-06-29,37,113020.SH,桐昆转债,601233,桐昆股份,116.0397,中证500成份股,002407,退市日期2020-11-27,,,
2026-06-29,38,113024.SH,核建转债,601611,中国核建,116.0397,中证500成份股,002407,公告到期赎回；退市日期2025-04-08,,,
2026-06-29,39,113029.SH,明阳转债,601615,明阳智能,116.0397,中证500成份股,002407,退市日期2021-03-19,,,
2026-06-29,40,113032.SH,桐20转债,601233,桐昆股份,116.0397,中证500成份股,002407,退市日期2021-01-14,,,
2026-06-29,41,113035.SH,福莱转债,601865,福莱特,116.0397,中证500成份股,002407,退市日期2021-02-01,,,
2026-06-29,42,113040.SH,星宇转债,601799,星宇股份,116.0397,中证500成份股,002407,退市日期2021-08-03,,,
2026-06-29,43,113043.SH,财通转债,601108,财通证券,116.0397,中证500成份股,002407,剩余规模37.99亿,,,
2026-06-29,44,113045.SH,环旭转债,601231,环旭电子,116.0397,中证500成份股,002407,强赎中；退市日期2026-01-29,,,
2026-06-29,45,113051.SH,节能转债,601016,节能风电,116.0397,中证500成份股,002407,剩余规模26.52亿,,,
2026-06-29,46,113059.SH,福莱转债,601865,福莱特,116.0397,中证500成份股,002407,剩余规模40.00亿,,,
2026-06-29,47,113062.SH,常银转债,601128,常熟银行,116.0397,中证500成份股,002407,剩余规模59.99亿,,,
2026-06-29,48,113065.SH,齐鲁转债,601665,齐鲁银行,116.0397,中证500成份股,002407,强赎中；退市日期2025-08-14,,,
2026-06-29,49,113066.SH,平煤转债,601666,平煤股份,116.0397,中证500成份股,002407,剩余规模14.28亿,,,
2026-06-29,50,113067.SH,燃23转债,601139,深圳燃气,116.0397,中证500成份股,002407,剩余规模30.00亿,,,
