trade_date,code,name,reason
2026-06-01,603890,春秋电子,昨日已涨停
2026-06-01,002426,胜利精密,封单金额不足5亿
2026-06-01,300956,英力股份,封单金额不足5亿
2026-06-01,300197,节能铁汉,封单金额不足5亿
2026-06-01,000539,粤电力A,封单金额不足5亿
2026-06-02,603890,春秋电子,昨日已涨停
2026-06-02,600403,大有能源,封单金额不足5亿
2026-06-03,600255,鑫科材料,封单金额不足5亿
2026-06-03,600688,上海石化,封单金额不足5亿
2026-06-03,301366,一博科技,封单金额不足5亿
2026-06-03,603330,天洋新材,封单金额不足5亿
2026-06-04,600688,上海石化,封单金额不足5亿
2026-06-04,600403,大有能源,封单金额不足5亿
2026-06-04,300897,山科智能,封单金额不足5亿
2026-06-05,603500,祥和实业,封单金额不足5亿
2026-06-05,603888,新华网,封单金额不足5亿
2026-06-05,002354,天娱数科,封单金额不足5亿
2026-06-08,603616,韩建河山,封单金额不足5亿
2026-06-09,603065,宿迁联盛,封单金额不足5亿
2026-06-09,002669,康达新材,封单金额不足5亿
2026-06-09,603616,韩建河山,封单金额不足5亿
2026-06-09,605081,退市太和,封单金额不足5亿
2026-06-10,605589,圣泉集团,封单金额不足5亿
2026-06-10,002971,和远气体,封单金额不足5亿
2026-06-10,603065,宿迁联盛,封单金额不足5亿
2026-06-10,600500,中化国际,封单金额不足5亿
2026-06-10,002757,南兴股份,封单金额不足5亿
2026-06-11,600141,兴发集团,封单金额不足5亿
2026-06-11,600500,中化国际,封单金额不足5亿
2026-06-11,600378,昊华科技,封单金额不足5亿
2026-06-11,002971,和远气体,封单金额不足5亿
2026-06-11,603065,宿迁联盛,封单金额不足5亿
2026-06-11,301580,爱迪特,封单金额不足5亿
2026-06-11,000631,顺发恒能,封单金额不足5亿
2026-06-11,002203,海亮股份,封单金额不足5亿
2026-06-12,601958,金钼股份,昨日已涨停
2026-06-12,000768,中航西飞,封单金额不足5亿
2026-06-12,001257,盛龙股份,封单金额不足5亿
2026-06-12,603065,宿迁联盛,封单金额不足5亿
2026-06-12,603335,迪生力,封单金额不足5亿
2026-06-15,601872,招商轮船,封单金额不足5亿
2026-06-15,601975,招商南油,封单金额不足5亿
2026-06-15,603335,迪生力,封单金额不足5亿
2026-06-15,000510,新金路,封单金额不足5亿
2026-06-15,600026,中远海能,封单金额不足5亿
2026-06-15,603738,泰晶科技,封单金额不足5亿
2026-06-16,600110,诺德股份,昨日已涨停
2026-06-16,600353,旭光电子,昨日已涨停
2026-06-16,000777,中核科技,封单金额不足5亿
2026-06-16,002741,光华科技,封单金额不足5亿
2026-06-16,002160,常铝股份,封单金额不足5亿
2026-06-16,002735,王子新材,封单金额不足5亿
2026-06-16,002449,国星光电,封单金额不足5亿
2026-06-16,605198,安德利,封单金额不足5亿
2026-06-17,600110,诺德股份,昨日已涨停
2026-06-17,000811,冰轮环境,封单金额不足5亿
2026-06-17,601636,旗滨集团,封单金额不足5亿
2026-06-17,000777,中核科技,封单金额不足5亿
2026-06-18,002167,东方锆业,封单金额不足5亿
2026-06-18,000811,冰轮环境,封单金额不足5亿
2026-06-18,301580,爱迪特,封单金额不足5亿
2026-06-18,603407,长裕集团,封单金额不足5亿
2026-06-18,600769,祥龙电业,封单金额不足5亿
2026-06-18,000889,中嘉博创,封单金额不足5亿
2026-06-18,001216,华瓷股份,封单金额不足5亿
2026-06-22,002167,东方锆业,昨日已涨停
2026-06-22,002674,兴业科技,封单金额不足5亿
2026-06-22,600172,黄河旋风,封单金额不足5亿
2026-06-22,600353,旭光电子,封单金额不足5亿
2026-06-22,603407,长裕集团,封单金额不足5亿
2026-06-22,002297,博云新材,封单金额不足5亿
2026-06-22,000751,锌业股份,封单金额不足5亿
2026-06-22,301580,爱迪特,封单金额不足5亿
2026-06-22,300179,四方达,封单金额不足5亿
2026-06-22,002655,共达电声,封单金额不足5亿
2026-06-22,600769,祥龙电业,封单金额不足5亿
2026-06-22,000571,新大洲A,封单金额不足5亿
2026-06-25,600667,太极实业,昨日已涨停
2026-06-25,002674,兴业科技,封单金额不足5亿
2026-06-25,600228,返利科技,封单金额不足5亿
2026-06-25,605366,宏柏新材,封单金额不足5亿
2026-06-25,603929,亚翔集成,封单金额不足5亿
2026-06-26,002674,兴业科技,昨日已涨停
2026-06-26,600228,返利科技,封单金额不足5亿
2026-06-26,000823,超声电子,封单金额不足5亿
2026-06-26,002568,百润股份,封单金额不足5亿
2026-06-26,603956,威派格,封单金额不足5亿
2026-06-29,688689,银河微电,封单金额不足5亿
2026-06-29,002549,凯美特气,封单金额不足5亿
2026-06-29,301520,万邦医药,封单金额不足5亿
2026-06-29,001237,惠康科技,封单金额不足5亿
2026-06-29,000521,长虹美菱,封单金额不足5亿
