trade_date,rank,cb_code,cb_name,stk_code,stk_name,matched_concepts,trigger_sources,theme_score,relation_reason,risk_notes,open,close,return_pct
2026-02-02,1,110002.SH,南山转债,600219,南山铝业,人民币贬值受益,301362,115.4279,命中人民币贬值受益,退市日期2009-09-24,,,
2026-02-02,2,110017.SH,中海转债,600026,中远海能,人民币贬值受益,301362,115.4279,命中人民币贬值受益,退市日期2015-02-13,,,
2026-02-02,3,110020.SH,南山转债,600219,南山铝业,人民币贬值受益,301362,115.4279,命中人民币贬值受益,退市日期2015-03-13,,,
2026-02-02,4,110026.SH,中海转债,600026,中远海能,人民币贬值受益,301362,115.4279,命中人民币贬值受益,退市日期2008-04-09,,,
2026-02-02,5,110032.SH,三一转债,600031,三一重工,人民币贬值受益,301362,115.4279,命中人民币贬值受益,退市日期2019-03-26,,,
2026-02-02,6,110066.SH,盛屯转债,600711,盛屯矿业,人民币贬值受益,301362,115.4279,命中人民币贬值受益,强赎中；退市日期2022-03-18,,,
2026-02-02,7,110081.SH,闻泰转债,600745,*ST闻泰,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低10.1万；剩余规模80.63亿,114.79,110.433,-3.7956
2026-02-02,8,110087.SH,天业转债,600075,新疆天业,生态农业,301362,115.4279,命中生态农业,成交额偏低3.3万；剩余规模29.98亿,140.2,135.841,-3.1091
2026-02-02,9,110090.SH,爱迪转债,600933,爱柯迪,人民币贬值受益,301362,115.4279,命中人民币贬值受益,成交额偏低1.1万；剩余规模15.70亿,143.0,139.452,-2.4811
2026-02-02,10,110100.SH,龙建转债,600853,龙建股份,生态农业,301362,115.4279,命中生态农业,剩余规模10.00亿,,,
2026-02-02,11,110219.SH,南山转债,600219,南山铝业,人民币贬值受益,301362,115.4279,命中人民币贬值受益,退市日期2006-08-24,,,
2026-02-02,12,110598.SH,大荒转债,600598,北大荒,生态农业,301362,115.4279,命中生态农业,退市日期2010-03-12,,,
2026-02-02,13,110801.SH,继峰定01,603997,继峰股份,人民币贬值受益,301362,115.4279,命中人民币贬值受益,公告到期赎回；退市日期2025-11-18,,,
