code,name,reason,trade_date
002902,铭普光磁,封单金额不足5亿,2026-04-01
600249,两面针,封单金额不足5亿,2026-04-01
300834,星辉环材,封单金额不足5亿,2026-04-01
002269,美邦服饰,封单金额不足5亿,2026-04-01
600488,津药药业,封单金额不足5亿,2026-04-02
000950,重药控股,封单金额不足5亿,2026-04-02
000788,北大医药,封单金额不足5亿,2026-04-02
000586,汇源通信,封单金额不足5亿,2026-04-03
603123,翠微股份,封单金额不足5亿,2026-04-03
000586,汇源通信,封单金额不足5亿,2026-04-07
000890,法尔胜,封单金额不足5亿,2026-04-07
300821,东岳硅材,封单金额不足5亿,2026-04-07
603327,福蓉科技,封单金额不足5亿,2026-04-07
603950,长源东谷,封单金额不足5亿,2026-04-08
000586,汇源通信,封单金额不足5亿,2026-04-08
600126,杭钢股份,封单金额不足5亿,2026-04-08
002902,铭普光磁,封单金额不足5亿,2026-04-08
603538,美诺华,封单金额不足5亿,2026-04-08
002051,中工国际,封单金额不足5亿,2026-04-08
600721,百花医药,封单金额不足5亿,2026-04-08
601069,西部黄金,封单金额不足5亿,2026-04-08
002928,华夏航空,封单金额不足5亿,2026-04-08
002478,常宝股份,封单金额不足5亿,2026-04-08
603950,长源东谷,封单金额不足5亿,2026-04-09
603777,来伊份,封单金额不足5亿,2026-04-09
605189,富春染织,封单金额不足5亿,2026-04-09
002364,中恒电气,昨日已涨停,2026-04-10
603950,长源东谷,封单金额不足5亿,2026-04-10
600103,青山纸业,封单金额不足5亿,2026-04-10
603933,睿能科技,封单金额不足5亿,2026-04-10
001269,欧晶科技,封单金额不足5亿,2026-04-10
000889,中嘉博创,封单金额不足5亿,2026-04-10
000626,远大控股,封单金额不足5亿,2026-04-10
002364,中恒电气,昨日已涨停,2026-04-13
000791,甘肃能源,封单金额不足5亿,2026-04-13
002439,启明星辰,封单金额不足5亿,2026-04-13
002297,博云新材,昨日已涨停,2026-04-14
002023,海特高新,封单金额不足5亿,2026-04-14
002885,京泉华,封单金额不足5亿,2026-04-14
000967,盈峰环境,封单金额不足5亿,2026-04-14
002297,博云新材,昨日已涨停,2026-04-15
002468,申通快递,封单金额不足5亿,2026-04-15
603687,大胜达,封单金额不足5亿,2026-04-15
603920,世运电路,封单金额不足5亿,2026-04-16
002297,博云新材,封单金额不足5亿,2026-04-16
300027,华谊兄弟,封单金额不足5亿,2026-04-16
002726,龙大美食,封单金额不足5亿,2026-04-16
600961,株冶集团,昨日已涨停,2026-04-17
600330,天通股份,封单金额不足5亿,2026-04-17
600961,株冶集团,昨日已涨停,2026-04-20
600330,天通股份,封单金额不足5亿,2026-04-20
002418,康盛股份,封单金额不足5亿,2026-04-20
002217,合力泰,封单金额不足5亿,2026-04-20
002843,泰嘉股份,封单金额不足5亿,2026-04-20
600961,株冶集团,昨日已涨停,2026-04-21
002565,顺灏股份,封单金额不足5亿,2026-04-21
000802,北京文化,封单金额不足5亿,2026-04-21
002752,昇兴股份,封单金额不足5亿,2026-04-21
603017,中衡设计,封单金额不足5亿,2026-04-21
301022,海泰科,封单金额不足5亿,2026-04-21
300067,安诺其,昨日已涨停,2026-04-22
002081,金 螳 螂,封单金额不足5亿,2026-04-22
002194,武汉凡谷,封单金额不足5亿,2026-04-22
300067,安诺其,昨日已涨停,2026-04-23
600736,苏州高新,封单金额不足5亿,2026-04-23
603318,水发燃气,封单金额不足5亿,2026-04-23
002606,大连电瓷,封单金额不足5亿,2026-04-23
300590,移为通信,封单金额不足5亿,2026-04-23
603315,福鞍股份,封单金额不足5亿,2026-04-23
603390,通达电气,封单金额不足5亿,2026-04-23
300721,怡达股份,封单金额不足5亿,2026-04-23
000925,众合科技,封单金额不足5亿,2026-04-24
600770,综艺股份,封单金额不足5亿,2026-04-24
603318,水发燃气,封单金额不足5亿,2026-04-24
603066,音飞储存,封单金额不足5亿,2026-04-24
002290,禾盛新材,封单金额不足5亿,2026-04-24
000925,众合科技,封单金额不足5亿,2026-04-27
002902,铭普光磁,封单金额不足5亿,2026-04-27
301500,飞南资源,封单金额不足5亿,2026-04-27
001332,锡装股份,封单金额不足5亿,2026-04-27
002154,报 喜 鸟,封单金额不足5亿,2026-04-27
001266,宏英智能,封单金额不足5亿,2026-04-28
301261,恒工精密,封单金额不足5亿,2026-04-28
300905,宝丽迪,封单金额不足5亿,2026-04-28
002218,拓日新能,封单金额不足5亿,2026-04-28
603317,天味食品,封单金额不足5亿,2026-04-28
603272,联翔股份,封单金额不足5亿,2026-04-28
688531,日联科技,封单金额不足5亿,2026-04-29
300632,光莆股份,封单金额不足5亿,2026-04-29
002354,天娱数科,封单金额不足5亿,2026-04-29
000402,金 融 街,封单金额不足5亿,2026-04-29
001266,宏英智能,封单金额不足5亿,2026-04-29
002111,威海广泰,封单金额不足5亿,2026-04-29
603399,永杉锂业,封单金额不足5亿,2026-04-30
603095,越剑智能,封单金额不足5亿,2026-04-30
603045,福达合金,封单金额不足5亿,2026-04-30
002640,跨境通,封单金额不足5亿,2026-04-30
300632,光莆股份,封单金额不足5亿,2026-04-30
001218,丽臣实业,封单金额不足5亿,2026-04-30
002591,恒大高新,封单金额不足5亿,2026-04-30
000553,安道麦A,封单金额不足5亿,2026-04-30
