period,trade_days,pick_days,trigger_stock_days,raw_bond_rows,evaluable_trades,wins,win_rate,avg_return_pct,median_return_pct
2026-01,20,9,10,324,76,51,67.1053,0.5085,0.4689
2026-02,14,2,2,71,23,5,21.7391,-2.0696,-1.835
2026-03,22,4,4,135,40,17,42.5,-0.1353,-0.0723
2026-04,21,5,5,165,38,15,39.4737,-0.656,-1.0337
2026-05,18,6,6,233,26,10,38.4615,-0.2894,-0.5999
2026-06,21,4,4,137,38,29,76.3158,3.3842,2.2483
