trade_date,trigger_stock_count,trigger_stocks,concept_count,concepts,bond_count,evaluable_trades,wins,win_rate,avg_return_pct
2026-03-02,1,"洲际油气(600759,封单17.36亿)",2,海南、海南自贸区,4,1,1,100.0,1.6715
2026-03-03,0,,0,,0,0,0,,
2026-03-04,1,"佰维存储(688525,封单8.09亿)",2,近期并购重组、AI PC,50,19,10,52.6316,0.2066
2026-03-05,0,,0,,0,0,0,,
2026-03-06,0,,0,,0,0,0,,
2026-03-09,0,,0,,0,0,0,,
2026-03-10,0,,0,,0,0,0,,
2026-03-11,0,,0,,0,0,0,,
2026-03-12,0,,0,,0,0,0,,
2026-03-13,0,,0,,0,0,0,,
2026-03-16,0,,0,,0,0,0,,
2026-03-17,0,,0,,0,0,0,,
2026-03-18,0,,0,,0,0,0,,
2026-03-19,0,,0,,0,0,0,,
2026-03-20,1,"云南锗业(002428,封单5.81亿)",2,云南、金属回收,31,6,2,33.3333,-1.2408
2026-03-23,0,,0,,0,0,0,,
2026-03-24,0,,0,,0,0,0,,
2026-03-25,0,,0,,0,0,0,,
2026-03-26,0,,0,,0,0,0,,
2026-03-27,0,,0,,0,0,0,,
2026-03-30,1,"天山铝业(002532,封单5.63亿)",2,低市盈率、2026一季报预增,50,14,4,28.5714,-0.2544
2026-03-31,0,,0,,0,0,0,,
