trade_date,rank,cb_code,cb_name,stk_code,stk_name,matched_concepts,trigger_sources,theme_score,relation_reason,risk_notes,open,close,return_pct
2026-01-05,1,128143.SZ,锋龙转债,002931,锋龙股份,金属制品,002931,1124.8285,正股为触发股，命中金属制品,强赎中；退市日期2025-03-13,,,
2026-01-05,2,124007.SZ,雷科定转,002413,雷科防务,太赫兹,002413,1118.084,正股为触发股，命中太赫兹,,,,
2026-01-05,3,124012.SZ,雷科定02,002413,雷科防务,太赫兹,002413,1118.084,正股为触发股，命中太赫兹,,,,
2026-01-05,4,110005.SH,西洋转债,600558,大西洋,金属制品,002931,124.8285,命中金属制品,退市日期2010-05-19,,,
2026-01-05,5,113535.SH,大业转债,603278,大业股份,金属制品,002931,124.8285,命中金属制品,强赎中；退市日期2024-01-16,,,
2026-01-05,6,113568.SH,新春转债,603667,五洲新春,金属制品,002931,124.8285,命中金属制品,强赎中；退市日期2022-06-13,,,
2026-01-05,7,113697.SH,应流转债,603308,应流股份,金属制品,002931,124.8285,命中金属制品,成交额偏低2.6万；剩余规模15.00亿,192.63,201.149,4.4225
2026-01-05,8,113706.SH,金帝转债,603270,金帝股份,金属制品,002931,124.8285,命中金属制品,,,,
2026-01-05,9,118009.SH,华锐转债,688059,华锐精密,金属制品,002931,124.8285,命中金属制品,强赎中；成交额偏低1.8万；退市日期2026-02-03,139.3,137.929,-0.9842
2026-01-05,10,123215.SZ,铭利转债,301268,铭利达,金属制品,002931,124.8285,命中金属制品,成交额偏低0.4万,131.495,133.645,1.635
2026-01-05,11,123239.SZ,锋工转债,300488,恒锋工具,金属制品,002931,124.8285,命中金属制品,强赎中；成交额偏低0.4万；退市日期2026-04-09,154.59,155.76,0.7568
2026-01-05,12,127048.SZ,中大转债,002896,中大力德,金属制品,002931,124.8285,命中金属制品,强赎中；退市日期2022-09-13,,,
2026-01-05,13,127106.SZ,伟隆转债,002871,伟隆股份,金属制品,002931,124.8285,命中金属制品,强赎中；退市日期2025-08-11,,,
2026-01-05,14,128001.SZ,泰尔转债,002347,泰尔股份,金属制品,002931,124.8285,命中金属制品,退市日期2014-11-21,,,
2026-01-05,15,128070.SZ,智能转债,002877,智能自控,金属制品,002931,124.8285,命中金属制品,公告到期赎回；退市日期2025-07-03,,,
2026-01-05,16,110056.SH,亨通转债,600487,亨通光电,太赫兹,002413,118.084,命中太赫兹,强赎中；退市日期2022-12-06,,,
2026-01-05,17,123112.SZ,万讯转债,300112,万讯自控,太赫兹,002413,118.084,命中太赫兹,成交额偏低0.3万,137.2,138.33,0.8236
2026-01-05,18,128041.SZ,盛路转债,002446,盛路通信,太赫兹,002413,118.084,命中太赫兹,公告到期赎回；退市日期2024-07-17,,,
2026-01-12,1,110062.SH,烽火转债,600498,烽火通信,央企国企改革,600498,1118.6433,正股为触发股，命中央企国企改革,公告到期赎回；退市日期2025-12-02,,,
2026-01-12,2,127029.SZ,中钢转债,000928,中钢国际,中俄贸易概念、央企国企改革,002792、600498,218.6433,命中中俄贸易概念、央企国企改革,强赎中；退市日期2023-11-08,,,
2026-01-12,3,100236.SH,桂冠转债,600236,桂冠电力,央企国企改革,600498,118.6433,命中央企国企改革,退市日期2008-07-04,,,
2026-01-12,4,100726.SH,华电转债,600726,华电能源,央企国企改革,600498,118.6433,命中央企国企改革,退市日期2007-06-05,,,
2026-01-12,5,100795.SH,国电转债,600795,国电电力,央企国企改革,600498,118.6433,命中央企国企改革,退市日期2007-04-30,,,
2026-01-12,6,110003.SH,新钢转债,600782,新钢股份,央企国企改革,600498,118.6433,命中央企国企改革,退市日期2013-08-27,,,
