code,name,reason,trade_date
603618,杭电股份,封单金额不足5亿,2026-02-02
002112,三变科技,封单金额不足5亿,2026-02-02
000533,顺钠股份,封单金额不足5亿,2026-02-02
603172,万丰股份,封单金额不足5亿,2026-02-02
603103,横店影视,封单金额不足5亿,2026-02-02
002780,三夫户外,封单金额不足5亿,2026-02-02
301362,民爆光电,封单金额不足5亿,2026-02-03
603618,杭电股份,封单金额不足5亿,2026-02-03
603172,万丰股份,封单金额不足5亿,2026-02-03
600266,城建发展,封单金额不足5亿,2026-02-03
603103,横店影视,封单金额不足5亿,2026-02-03
600683,京投发展,封单金额不足5亿,2026-02-03
000856,冀东装备,封单金额不足5亿,2026-02-03
600149,廊坊发展,封单金额不足5亿,2026-02-03
301362,民爆光电,昨日已涨停,2026-02-04
002342,巨力索具,封单金额不足5亿,2026-02-04
603616,韩建河山,封单金额不足5亿,2026-02-04
300912,凯龙高科,封单金额不足5亿,2026-02-04
600481,双良节能,封单金额不足5亿,2026-02-04
000070,特发信息,封单金额不足5亿,2026-02-04
300912,凯龙高科,封单金额不足5亿,2026-02-05
603616,韩建河山,封单金额不足5亿,2026-02-05
601015,陕西黑猫,封单金额不足5亿,2026-02-05
002830,名雕股份,封单金额不足5亿,2026-02-06
300912,凯龙高科,封单金额不足5亿,2026-02-06
003018,金富科技,封单金额不足5亿,2026-02-06
600814,杭州解百,封单金额不足5亿,2026-02-06
002728,特一药业,封单金额不足5亿,2026-02-06
603616,韩建河山,封单金额不足5亿,2026-02-06
600884,杉杉股份,昨日已涨停,2026-02-09
603533,掌阅科技,封单金额不足5亿,2026-02-09
300912,凯龙高科,封单金额不足5亿,2026-02-09
603980,吉华集团,封单金额不足5亿,2026-02-09
605287,德才股份,封单金额不足5亿,2026-02-09
002455,百川股份,封单金额不足5亿,2026-02-09
001330,博纳影业,封单金额不足5亿,2026-02-09
601595,上海电影,封单金额不足5亿,2026-02-09
002429,兆驰股份,封单金额不足5亿,2026-02-09
603729,龙韵股份,封单金额不足5亿,2026-02-09
003018,金富科技,封单金额不足5亿,2026-02-09
301231,荣信文化,封单金额不足5亿,2026-02-09
000892,欢瑞世纪,封单金额不足5亿,2026-02-09
002624,完美世界,封单金额不足5亿,2026-02-09
600586,金晶科技,封单金额不足5亿,2026-02-09
603466,风语筑,封单金额不足5亿,2026-02-09
000014,沙河股份,封单金额不足5亿,2026-02-09
301262,海看股份,封单金额不足5亿,2026-02-09
002099,海翔药业,封单金额不足5亿,2026-02-09
603533,掌阅科技,昨日已涨停,2026-02-10
600589,大位科技,封单金额不足5亿,2026-02-10
000892,欢瑞世纪,封单金额不足5亿,2026-02-10
605287,德才股份,封单金额不足5亿,2026-02-10
002455,百川股份,封单金额不足5亿,2026-02-10
603980,吉华集团,封单金额不足5亿,2026-02-10
002429,兆驰股份,封单金额不足5亿,2026-02-10
301231,荣信文化,封单金额不足5亿,2026-02-10
603729,龙韵股份,封单金额不足5亿,2026-02-10
002723,小崧股份,封单金额不足5亿,2026-02-10
603533,掌阅科技,昨日已涨停,2026-02-11
600589,大位科技,封单金额不足5亿,2026-02-11
000070,特发信息,封单金额不足5亿,2026-02-11
001896,豫能控股,封单金额不足5亿,2026-02-11
603729,龙韵股份,封单金额不足5亿,2026-02-11
001217,华尔泰,封单金额不足5亿,2026-02-11
000892,欢瑞世纪,封单金额不足5亿,2026-02-11
002723,小崧股份,封单金额不足5亿,2026-02-11
605287,德才股份,封单金额不足5亿,2026-02-11
603533,掌阅科技,昨日已涨停,2026-02-12
001896,豫能控股,封单金额不足5亿,2026-02-12
600589,大位科技,封单金额不足5亿,2026-02-12
605033,美邦股份,封单金额不足5亿,2026-02-12
600821,金开新能,封单金额不足5亿,2026-02-12
600397,江钨装备,封单金额不足5亿,2026-02-12
002272,川润股份,封单金额不足5亿,2026-02-12
000070,特发信息,封单金额不足5亿,2026-02-12
603138,海量数据,封单金额不足5亿,2026-02-12
603757,大元泵业,封单金额不足5亿,2026-02-12
605033,美邦股份,封单金额不足5亿,2026-02-13
000839,国安股份,封单金额不足5亿,2026-02-13
001896,豫能控股,封单金额不足5亿,2026-02-13
605033,美邦股份,封单金额不足5亿,2026-02-24
000636,风华高科,封单金额不足5亿,2026-02-24
001896,豫能控股,封单金额不足5亿,2026-02-24
601872,招商轮船,封单金额不足5亿,2026-02-24
600078,澄星股份,封单金额不足5亿,2026-02-25
002725,跃岭股份,封单金额不足5亿,2026-02-25
002470,金正大,封单金额不足5亿,2026-02-26
600078,澄星股份,封单金额不足5亿,2026-02-26
000546,金圆股份,封单金额不足5亿,2026-02-26
603232,格尔软件,封单金额不足5亿,2026-02-27
000035,中国天楹,封单金额不足5亿,2026-02-27
002843,泰嘉股份,封单金额不足5亿,2026-02-27
