cutoff,cutoff_td,future_td,hit,ic,n,rank_ic,universe_size
2025-01-31,2025-01-27,2025-03-04,0.4118,-0.11,34,-0.0765,36
2025-02-28,2025-02-28,2025-03-28,0.7059,0.0869,34,0.1909,36
2025-03-31,2025-03-31,2025-04-29,0.2941,-0.2243,34,-0.2359,36
2025-04-30,2025-04-30,2025-06-03,0.4706,-0.1379,34,-0.104,36
2025-05-31,2025-05-30,2025-06-30,0.4118,-0.155,34,-0.1196,36
2025-06-30,2025-06-30,2025-07-28,0.3125,-0.0313,34,-0.0291,36
2025-07-31,2025-07-31,2025-08-28,0.4375,0.0316,34,0.0347,36
2025-08-31,2025-08-29,2025-09-26,0.5,0.1161,34,0.1565,36
2025-09-30,2025-09-30,2025-11-05,0.5,-0.1254,35,-0.2017,36
