ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
000551.SZ,20240630,输变电高压绝缘子,P,359595546.07,113198196.39,246397349.68,CNY
000551.SZ,20240630,贸易、汽车销售及服务,P,72165104.2,,,CNY
000551.SZ,20240630,精密轴承,P,358438318.69,136388151.33,222050167.36,CNY
000551.SZ,20240630,磨具磨料,P,110070878.51,,,CNY
000551.SZ,20240630,洁净环保设备及工程,P,1285380062.58,209318840.85,1076061221.73,CNY
000551.SZ,20240630,光机电算一体化测绘仪器,P,74013250.24,,,CNY
688017.SH,20251231,谐波减速器及金属部件,P,476486798.69,175199476.67,301287322.02,CNY
688017.SH,20251231,机电一体化产品,P,74303375.72,30386001.15,43917374.57,CNY
688017.SH,20251231,智能自动化设备,P,14889071.41,1715928.53,13173142.88,CNY
688017.SH,20251231,其他业务,P,5034779.44,3321478.8,1713300.64,CNY
688017.SH,20250630,谐波减速器及金属部件,P,196927829.0,67601531.21,129326297.79,CNY
688017.SH,20250630,机电一体化产品,P,41639307.1,16479086.05,25160221.05,CNY
688017.SH,20250630,智能自动化设备,P,8148469.92,182019.55,7966450.37,CNY
688017.SH,20250630,其他产品及收入,P,4696314.67,3149942.59,1546372.08,CNY
688017.SH,20241231,谐波减速器及金属部件,P,325415663.13,117575798.7,207839864.43,CNY
688017.SH,20241231,机电一体化产品,P,52593288.84,21635537.74,30957751.1,CNY
688017.SH,20241231,智能自动化设备,P,4633282.14,2356454.14,2276828.0,CNY
688017.SH,20241231,其他业务,P,4769069.73,3866644.91,902424.82,CNY
688017.SH,20240630,谐波减速器及金属部件,P,146494492.27,58159765.68,88334726.59,CNY
688017.SH,20240630,机电一体化产品,P,24542997.65,10327583.5,14215414.15,CNY
688017.SH,20240630,其他业务,P,1369686.74,1143606.2,226080.54,CNY
688162.SH,20251231,智能装备整体解决方案,P,2637710378.9,430173310.68,2207537068.22,CNY
688162.SH,20251231,新能源汽车电机驱动系统,P,1671134220.3,207100110.54,1464034109.76,CNY
688162.SH,20251231,其他业务,P,26358022.72,11272923.68,15085099.04,CNY
688162.SH,20250630,智能装备整体解决方案,P,1117211555.84,194740443.14,922471112.7,CNY
688162.SH,20250630,新能源汽车电机驱动系统,P,781494187.25,99965381.94,681528805.31,CNY
688162.SH,20241231,智能装备整体解决方案,P,2342764798.66,397919447.37,1944845351.29,CNY
688162.SH,20241231,新能源汽车电机驱动系统,P,1134717711.41,110671806.39,1024045905.02,CNY
688162.SH,20241231,其他业务,P,45803281.61,3387576.56,42415705.05,CNY
688162.SH,20240630,智能装备整体解决方案,P,1161384970.37,193858953.18,967526017.19,CNY
688162.SH,20240630,新能源汽车电机驱动系统,P,345584775.12,39216138.7,306368636.42,CNY
603270.SH,20251231,边角料,P,173769031.93,9384070.76,164384961.17,CNY
603270.SH,20251231,轴承保持架,P,834013166.03,312660186.19,521352979.84,CNY
603270.SH,20251231,汽车零部件,P,1007275885.49,202261153.61,805014731.88,CNY
603270.SH,20251231,其他主营业务,P,5409098.38,1718345.83,3690752.55,CNY
603270.SH,20250630,轴承保持架,P,427221683.75,173350242.92,253871440.83,CNY
603270.SH,20250630,汽车零部件,P,339529858.91,66272156.44,273257702.47,CNY
603270.SH,20250630,汽车精密零部件,P,339529858.91,66272156.44,273257702.47,CNY
603270.SH,20250630,其他业务,P,67945855.53,1279839.85,66666015.68,CNY
603270.SH,20241231,风电行业保持架,P,242834719.76,129384601.64,113450118.12,CNY
603270.SH,20241231,门锁、安全、座椅等其他系统,P,103380151.99,30063616.04,73316535.95,CNY
603270.SH,20241231,边角料,P,118867224.87,8047178.69,110820046.18,CNY
603270.SH,20241231,轴承配件(轴承配件),P,44481689.26,5790086.98,38691602.28,CNY
603270.SH,20241231,汽车动力系统,P,491501677.06,100499102.8,391002574.26,CNY
603270.SH,20241231,其他行业保持架,P,350238013.97,111602878.25,238635135.72,CNY
603270.SH,20241231,其他主营业务,P,4038176.5,2748763.69,1289412.81,CNY
603270.SH,20240630,边角料,P,55141425.5,6512256.64,48629168.86,CNY
603270.SH,20240630,轴承配件(轴承配件),P,21884824.71,4601232.16,17283592.55,CNY
603270.SH,20240630,轴承保持架,P,275083054.2,112159817.25,162923236.95,CNY
603270.SH,20240630,汽车零部件,P,239667560.47,58002298.76,181665261.71,CNY
603270.SH,20240630,汽车精密零部件,P,239667560.47,58002298.76,181665261.71,CNY
603270.SH,20240630,其他主营业务,P,2008446.87,275140.54,1733306.33,CNY
300660.SZ,20251231,直流电机,P,683284642.95,132667846.99,550616795.96,CNY
300660.SZ,20251231,泵,P,451915142.82,116581628.97,335333513.85,CNY
300660.SZ,20251231,步进电机,P,1195664730.03,357945461.32,837719268.71,CNY
300660.SZ,20251231,排水电机,P,200185417.29,,,CNY
300660.SZ,20251231,同步电机,P,76783264.49,,,CNY
300660.SZ,20251231,压铸件,P,210202993.62,,,CNY
300660.SZ,20251231,其他业务,P,129254223.73,40430199.79,88824023.94,CNY
300660.SZ,20251231,PP-冲压件,P,203911483.79,,,CNY
300660.SZ,20251231,MA-电机及组件,P,1028521301.09,298591926.82,729929374.27,CNY
300660.SZ,20250630,直流电机,P,275595599.04,49377728.62,226217870.42,CNY
300660.SZ,20250630,泵,P,208709542.75,55253485.78,153456056.97,CNY
300660.SZ,20250630,步进电机,P,619831227.66,198613466.08,421217761.58,CNY
300660.SZ,20250630,排水电机,P,94358130.48,17061091.16,77297039.32,CNY
300660.SZ,20250630,同步电机,P,40762606.34,11460603.15,29302003.19,CNY
300660.SZ,20250630,压铸件,P,86518964.83,-1993127.56,88512092.39,CNY
300660.SZ,20250630,其他业务,P,84279628.32,26441928.24,57837700.08,CNY
300660.SZ,20250630,PP-冲压件,P,103823043.08,32855433.55,70967609.53,CNY
300660.SZ,20250630,MA-电机及组件,P,444460647.73,143500952.99,300959694.74,CNY
300660.SZ,20241231,直流电机,P,489629739.45,100130039.62,389499699.83,CNY
300660.SZ,20241231,泵,P,412728509.47,120551122.61,292177386.86,CNY
300660.SZ,20241231,步进电机,P,1154700283.21,360261473.45,794438809.76,CNY
300660.SZ,20241231,排水电机,P,210326691.41,,,CNY
300660.SZ,20241231,同步电机,P,108601653.24,,,CNY
300660.SZ,20241231,压铸件,P,98744416.25,,,CNY
