ann_date,ts_code,name,title,url
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度非经营性资金占用及其他关联资金往来情况专项说明,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226297&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度独立董事述职报告（童盼 ）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226333&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度独立董事述职报告（顾伟国）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226332&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度独立董事述职报告（郭磊明),http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226331&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于确认董事、监事、高级管理人员2025年度绩效薪酬发放及2026年度董事、高级管理人员薪酬方案的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226305&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司内部控制审计报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226329&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司独立董事津贴制度（修订稿）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226327&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,国金证券股份有限公司关于常州光洋轴承股份有限公司 2025 年度募集资金存放、管理与使用情况的核查意见,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226300&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于会计政策变更的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226325&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于2025年度计提资产减值准备的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226324&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度募集资金年度存放、管理与使用情况鉴证报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226301&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度董事会工作报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226308&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,独立董事提名人声明与承诺（郭磊明）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226320&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,独立董事提名人声明与承诺（曲小波）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226319&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,2025年度非经营性资金占用及其他关联资金往来情况汇总表,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226296&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于公司提供担保的进展公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226314&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于2026年度公司及下属公司担保额度预计的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226313&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司关于开展外汇套期保值业务的可行性分析报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226312&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于开展外汇套期保值业务的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226311&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,第五届董事会第二十次会议决议公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226306&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于2025年度利润分配预案的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226304&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,2026年一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226302&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度内部控制评价报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226328&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,独立董事候选人声明与承诺（曲小波）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226322&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,独立董事候选人声明与承诺（郭磊明）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226323&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司董事、高级管理人员薪酬管理制度（修订稿）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226326&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于拟续聘会计师事务所的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226334&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,独立董事提名人声明与承诺（袁淳）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226318&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于选举职工代表董事的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226316&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于召开2025年度股东会的通知,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226310&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司董事会关于对独立董事独立性自查情况的专项意见,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226295&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度年审会计师履职情况评估报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226299&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司董事会审计委员会对会计师事务所2025年度履职情况评估及履行监督职责情况的报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226298&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于董事会换届选举的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226317&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226292&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,2025年年度报告摘要,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226291&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司2025年度总经理工作报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226309&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,2025年度募集资金存放、管理与使用情况的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226315&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,关于举行2025年度网上业绩说明会的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226330&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,常州光洋轴承股份有限公司股东分红回报规划（2026-2028年度）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226307&orgId=9900023255&announcementTime=2026-04-29
20260429,002708.SZ,光洋股份,独立董事候选人声明与承诺（袁淳）,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225226321&orgId=9900023255&announcementTime=2026-04-29
20260423,002708.SZ,光洋股份,关于对外投资的进展公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225151566&orgId=9900023255&announcementTime=2026-04-23
20260423,002708.SZ,光洋股份,关于对外投资的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225151565&orgId=9900023255&announcementTime=2026-04-23
20260418,002708.SZ,光洋股份,常熟东南相互电子有限公司审计报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225122960&orgId=9900023255&announcementTime=2026-04-18
20260418,002708.SZ,光洋股份,关于公司提供担保的进展公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225122963&orgId=9900023255&announcementTime=2026-04-18
20260418,002708.SZ,光洋股份,第五届董事会第十九次会议决议公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225122962&orgId=9900023255&announcementTime=2026-04-18
20260418,002708.SZ,光洋股份,关于收购常熟东南相互电子有限公司100%股权的提示性公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225122959&orgId=9900023255&announcementTime=2026-04-18
20260418,002708.SZ,光洋股份,常熟东南相互电子有限公司资产评估报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225122961&orgId=9900023255&announcementTime=2026-04-18
20260408,002708.SZ,光洋股份,关于独立董事任期届满的公告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002708&announcementId=1225081507&orgId=9900023255&announcementTime=2026-04-08
