observed_at,trade_date,tushare_limit_list_d_rows,tushare_kpl_list_rows,tushare_kpl_list_latest_date,pg_limit_list_d_rows,pg_limit_list_d_u_rows,pg_kpl_list_table,pg_kpl_list_rows,limit_list_d_available,kpl_list_available
2026-07-01T11:00:59,20260701,0,0,20260630,,,,,False,False
2026-07-01T11:01:15,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:06:44,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:11:45,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:17:21,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:21:46,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:31:18,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:36:12,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:41:11,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:45:44,20260701,0,0,20260630,0,0,,,False,False
2026-07-01T11:51:18,20260701,0,0,20260630,0,0,,,False,False
