trade_date,rank,code,name,stk_code,stk_name,industry,route,grade,total_score,price,maturity_call_price,maturity_call_price_source,price_gap,premium_rate,maturity_days_left,remain_size_yi,pledge_total_ratio,route_a_score,route_b_score,revision_countdown_score,revision_history_score,governance_score,theme_score,liquidity_score,call_risk,risk_flags,missing_fields
2026-06-04,3,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,41.0,121.06,118.0,cb_call.call_price,3.06,18.07,30,2.97,,45.8,53.0,,,60.0,,5.9,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-04,4,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,34.9,113.71,110.0,cb_basic.maturity_call_price,3.71,19.22,114,14.05,,44.8,53.0,,,60.0,,5.0,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,1,113588.SH,润达转债,603108,润达医疗,医药商业,底价观察,B,55.9,108.98,109.0,cb_call.call_price,-0.02,21.02,-13,,,44.1,53.0,,,60.0,,17.2,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,2,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,47.0,117.58,115.0,cb_call.call_price,2.58,4.18,12,5.52,,56.6,53.0,,,60.0,,8.4,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,3,123064.SZ,万孚转债,300482,万孚生物,医疗保健,底价观察,C,43.0,112.72,110.0,cb_basic.maturity_call_price,2.72,27.29,63,5.98,,47.3,53.0,,,60.0,,61.4,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,4,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,40.0,121.35,118.0,cb_call.call_price,3.35,17.43,30,2.97,,45.2,53.0,,,60.0,,7.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-05,5,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,36.5,113.25,110.0,cb_basic.maturity_call_price,3.25,19.86,114,14.05,,43.3,53.0,,,60.0,,6.5,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,1,113588.SH,润达转债,603108,润达医疗,医药商业,底价观察,B,55.0,108.97,109.0,cb_call.call_price,-0.03,25.86,-13,,,42.9,53.0,,,60.0,,20.7,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,2,127041.SZ,弘亚转债,002833,弘亚数控,专用机械,底价观察,B,49.7,116.73,115.0,cb_call.call_price,1.73,6.77,12,5.52,,55.7,53.0,,,60.0,,12.2,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,3,113597.SH,佳力转债,603912,佳力图,专用机械,底价观察,C,42.2,120.38,118.0,cb_call.call_price,2.38,23.37,30,2.97,,42.4,53.0,,,60.0,,8.4,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
2026-06-08,4,113605.SH,大参转债,603233,大参林,医药商业,底价观察,C,38.9,112.68,110.0,cb_basic.maturity_call_price,2.68,20.32,114,14.05,,44.4,53.0,,,60.0,,6.8,安全,[],"[""pledge_total_ratio"", ""ownership_nature""]"
