model,list_type,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_name,matched_concepts,quality_tier,observation_reason,risk_notes,open,close,return_pct
V2.0,主买,32,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),127026.SZ,超声转债,超声电子,苹果概念,A,,强赎中；退市日期2026-06-24,,,
V2.0,主买,33,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),127051.SZ,博杰转债,博杰股份,苹果概念,A,,强赎中；退市日期2025-05-08,,,
V2.0,主买,34,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),127107.SZ,领益转债,领益智造,苹果概念,A,,强赎中；退市日期2025-10-23,,,
V2.0,主买,35,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128009.SZ,歌尔转债,歌尔股份,苹果概念,A,,退市日期2017-07-10,,,
V2.0,主买,36,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128035.SZ,大族转债,大族激光,苹果概念,A,,公告到期赎回；退市日期2024-02-07,,,
V2.0,主买,37,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128088.SZ,深南转债,深南电路,苹果概念,A,,退市日期2020-09-11,,,
V2.0,主买,38,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128112.SZ,歌尔转2,歌尔股份,苹果概念,A,,退市日期2021-03-11,,,
V2.0,主买,39,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128118.SZ,瀛通转债,瀛通通讯,苹果概念,A,,强赎中；退市日期2024-12-27,,,
V2.0,主买,40,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128136.SZ,立讯转债,立讯精密,苹果概念,A,,成交额偏低4.0万；剩余规模29.85亿,138.4,141.0,1.8786
V2.1,主买,1,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),110101.SH,宝钛转债,宝钛股份,苹果概念,A,,剩余规模35.00亿,,,
V2.1,主买,2,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),111012.SH,福新转债,福莱新材,苹果概念,A,,成交额偏低15.3万,269.0,293.944,9.2729
V2.1,主买,3,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),113046.SH,金田转债,金田股份,苹果概念,A,,成交额偏低1.2万；剩余规模14.99亿,128.999,133.384,3.3993
V2.1,主买,4,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118024.SH,冠宇转债,珠海冠宇,苹果概念,A,,成交额偏低1.9万；剩余规模30.89亿,126.96,129.91,2.3236
V2.1,主买,5,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118061.SH,茂莱转债,茂莱光学,光学元件,A,,成交额偏低29.8万,221.0,263.852,19.39
V2.1,主买,6,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118062.SH,天准转债,天准科技,苹果概念,A,,成交额偏低13.2万,281.475,312.023,10.8528
V2.1,主买,7,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),118066.SH,统联转债,统联精密,苹果概念,A,,成交额偏低0.4万,132.5,136.74,3.2
V2.1,主买,8,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123138.SZ,丝路转债,丝路视觉,苹果概念,A,,成交额偏低0.2万,123.648,124.118,0.3801
V2.1,主买,9,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123176.SZ,精测转2,精测电子,苹果概念,A,,成交额偏低19.8万；剩余规模12.75亿,508.0,537.278,5.7634
V2.1,主买,10,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123193.SZ,海能转债,海能实业,苹果概念,A,,成交额偏低0.3万,123.356,124.456,0.8917
V2.1,主买,11,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123237.SZ,佳禾转债,佳禾智能,苹果概念,A,,成交额偏低0.4万,128.688,130.79,1.6334
V2.1,主买,12,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),123262.SZ,神宇转债,神宇股份,苹果概念,A,,成交额偏低3.1万,131.963,140.305,6.3215
V2.1,主买,13,"水晶光电(002273,封单7.79亿)",光学元件(0.7389)、苹果概念(0.2104),128136.SZ,立讯转债,立讯精密,苹果概念,A,,成交额偏低4.0万；剩余规模29.85亿,138.4,141.0,1.8786
