ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
002708.SZ,20260429,20260331,0.058,0.058,1.2409,1.2409,2.3146,0.1293,-0.1197,18633169.11,13423741.41,106260480.54,1.3116,0.9236,0.8913,0.9944,0.2858,0.636,0.175,9103760.53,37646089.03,,-139735671.89,20356768.71,795735021.04,81060366.91,1404613565.14,754987767.1,1568786141.05,589349144.11,1015124052.73,3181405541.27,5409517.58,0.057,3.1469,-0.1105,0.0096,0.448,0.067,-0.2486,0.0362,4.1988,15.2346,84.7654,13.687,4.1988,3.0043,8.9237,1.7589,-0.4431,98.6948,4.2943,5.3973,1.8307,1.82,0.7666,0.9447,0.7349,1.2006,7.3228,3.7788,56.2172,2.284,2.2757,61.1228,38.8772,38.6572,44.1507,55.6001,82.8933,17.1067,-0.0328,1.284,0.7753,1.2593,0.6876,1.1169,2.0779,-0.0272,198.8883,2.9396,0.8045,1210870340.57,4.2792,3.0043,98.6948,1.8307,0.7666,0.7349,-8.9014,28.0353,28.0353,-6806.25,26.6893,26.4788,25.9988,-44.29,-6739.1686,17.483,2.0495,3.7494,2.051,15.1209,15.1209,15.1209,-3.1367,7.2485
002708.SZ,20260429,20251231,0.1826,0.1826,4.8326,4.8326,2.3087,0.1293,-0.1767,12294935.9,88683097.11,461750198.67,1.2377,0.8819,0.853,3.9663,1.1976,2.5624,0.7301,65785628.14,119121957.97,300555593.05,53847013.59,288006877.38,855432309.7,84229548.88,1228241829.33,819105668.91,1544924910.84,460970115.76,895411868.72,2971880246.85,-26647392.94,0.1796,3.0837,0.0695,-0.0474,-0.0103,0.2119,0.0958,0.5124,3.2423,16.9988,83.0012,13.2901,3.2423,2.7823,9.3846,1.1232,-0.641,97.5782,3.224,4.3853,5.8955,6.0,5.1777,3.2017,2.3672,4.2354,5.8955,3.2017,55.4232,2.2433,2.1722,61.3708,38.6292,39.4966,41.3288,58.3238,89.4677,10.5323,0.0201,1.2433,0.7995,1.4112,0.7126,1.2578,1.8861,0.018,189.5058,2.3672,2.7141,1180379743.9,3.2249,2.706,97.2154,2.1822,1.8555,0.8926,-2.0574,101.1013,101.1013,137.649,159.9203,146.0797,97.9527,135.1,137.6548,93.2649,2.4281,10.8237,2.4256,17.6135,17.6135,36.9904,468.8325,2.4256
002708.SZ,20251031,20250930,0.1143,0.1143,3.3623,3.3623,2.1937,0.1043,-0.2182,6698625.42,56893069.06,318484820.27,1.2316,0.8744,0.8491,2.9874,0.8491,1.8124,0.5203,42772923.07,78841746.43,,-71917795.9911,103719682.9589,778802750.03,77735977.94,1172180982.56,522863765.83,1518102528.37,435623687.01,837760464.48,2878967232.07,-64033731.47,0.1131,3.0123,0.0998,-0.1139,0.4288,0.1403,-0.1279,0.1845,2.8543,16.8515,83.1485,13.5769,2.8543,2.8156,9.6944,1.0668,-0.5038,97.7368,2.9976,4.1716,3.7567,3.81,3.361,2.1704,1.485,2.7033,5.0089,2.8939,54.3091,2.1886,2.1459,62.0043,37.9957,40.6398,40.7153,58.8129,92.6965,7.3035,0.0298,1.1886,0.8346,1.4445,0.7483,1.2951,2.9034,0.0276,195.0713,1.98,1.7506,1162235488.35,3.0096,3.0562,99.8019,0.6313,0.5035,0.2045,10.9668,59.8601,59.8601,140.2744,107.4018,97.1286,58.2578,58.93,140.2549,63.4145,0.0565,5.8362,0.0554,10.7628,10.7628,8.0905,-80.2864,-3.1556
002708.SZ,20250823,20250630,0.0951,0.0951,2.2421,2.2421,2.188,0.1043,-0.2372,4543680.5,48403661.92,222006966.49,1.2234,0.868,0.8378,1.9071,0.5782,1.21,0.353,41525397.7,67472112.62,157407356.26,3710647.9885,80610911.8185,828262147.23,81373954.08,1005795044.49,650040622.58,1508356787.04,405962722.74,839026656.39,2701590539.55,-74678083.53,0.0942,2.9872,-0.0231,-0.1329,-0.0991,0.12,0.0066,0.1434,3.6843,17.6153,82.3847,13.1386,3.6843,2.6955,9.5148,0.9284,-0.6504,96.7051,4.0639,5.3536,3.141,3.18,2.8715,1.8898,1.3005,2.289,6.282,3.7796,53.041,2.1295,2.1181,61.571,38.429,41.7685,37.2297,62.1515,94.8876,5.1124,-0.0071,1.1295,0.8766,1.6694,0.7875,1.4997,2.3204,-0.0068,197.7611,2.601,1.483,1147765387.94,4.0563,1.9614,96.5816,1.6528,1.4606,0.665,-1.8439,23.0272,23.0272,87.1809,60.6129,58.3277,21.8595,18.34,87.1907,27.1282,-0.7773,2.315,-0.7792,12.1479,12.1479,18.1333,16.6351,-4.1444
002708.SZ,20250823,20250630,0.0951,0.0951,2.2421,2.2421,2.188,0.1043,-0.2372,4543680.5,48403661.92,222006966.49,1.2234,0.868,0.7904,1.9071,0.5782,1.21,0.353,41525397.7,67472112.62,157407356.26,4639087.2185,81539351.0485,828262147.23,81373954.08,1005795044.49,650040622.58,1508356787.04,405962722.74,1039453556.54,2701590539.55,-74678083.53,0.0942,2.9872,-0.0231,-0.1329,-0.0991,0.12,0.0083,0.1451,3.6843,17.6153,82.3847,13.1386,3.6843,2.6955,9.5148,0.9284,-0.6504,96.7051,4.0639,5.3536,3.141,3.18,2.8715,1.8898,1.3005,2.289,6.282,3.7796,53.041,2.1295,2.1181,61.571,38.429,41.7685,37.2297,62.1515,94.8876,5.1124,-0.0071,1.1295,0.8766,1.6694,0.7875,1.4997,2.3204,-0.0068,197.7611,2.601,1.483,1147765387.94,4.0563,1.9614,96.5816,1.6528,1.4606,0.665,-1.8439,23.0272,23.0272,87.1809,60.6129,58.3277,21.8595,18.34,87.1907,27.1282,-0.7773,2.315,-0.7792,12.1479,12.1479,18.1333,16.6351,-4.1444
002708.SZ,20250426,20250331,0.0453,0.0453,1.0779,1.0779,2.1272,0.1043,-0.2861,1345086.53,24097155.15,102104553.36,1.2182,0.8648,0.8384,0.9553,0.2856,0.592,0.1721,19154611.32,30735460.96,,-31566687.6784,9649452.5816,780063524.25,82946471.69,979340157.21,648206720.68,1477030081.61,377601071.96,794755599.88,2649189906.07,-102183184.27,0.0453,2.9342,-0.0016,-0.1818,-0.015,0.0547,-0.0562,0.0172,3.7546,16.8523,83.1477,13.0411,3.7546,3.4883,8.4631,1.0897,-0.5402,96.8385,3.9022,5.0729,1.5228,1.49,1.4423,0.873,0.6461,1.1176,6.0912,3.492,52.4557,2.1033,2.1073,60.014,39.986,42.0543,36.9675,62.2573,93.9132,6.0868,-0.0005,1.1033,0.8952,1.6841,0.8017,1.5082,2.2786,-0.0005,197.6714,2.5844,0.7226,1152582403.28,3.8949,3.4883,96.8385,1.5228,1.4423,0.6461,-0.1498,6.8396,6.8396,99.0012,-2.2912,-3.098,6.6683,10.06,98.9919,10.6656,-2.5377,-0.4906,-2.5382,6.3289,6.3289,6.3289,270.7164,-3.612
002708.SZ,20250426,20241231,0.0908,0.0908,4.1088,4.1088,2.2377,0.1043,-0.3314,13289487.35,37721699.25,337036238.45,1.2653,0.9413,0.9138,3.6772,1.1697,2.2466,0.6817,4843688.51,60429871.15,265579679.38,-145591368.7066,19987576.6434,786279950.47,90099605.49,937641742.96,549997514.89,1526310835.15,447754050.92,761057022.18,2653137867.59,-127625425.95,0.0908,3.0106,-0.1846,-0.2271,-0.1648,0.1075,-0.259,0.0356,1.2484,14.593,85.407,12.9493,1.2484,2.3393,9.6114,0.9986,-0.3232,99.7903,1.4589,2.6165,3.0195,2.98,2.2329,1.7837,0.8511,1.9561,3.0195,1.7837,51.3957,2.0574,2.0054,60.5079,39.4921,43.2442,35.3409,63.7836,93.0466,6.9534,-0.0615,1.0574,0.9329,1.8048,0.8414,1.6278,2.7751,-0.0572,183.9118,0.8511,1.5057,1177490822.68,1.5413,2.3824,100.8695,0.6295,0.1119,0.1615,5.8905,139.1886,139.1886,-1298.7013,122.1781,125.3993,143.6217,124.67,-1296.6975,143.4729,0.34,8.7298,0.3422,26.6857,26.6857,15.345,239.4613,0.3422
002708.SZ,20241031,20240930,0.0715,0.0715,3.0356,3.0356,2.3523,0.0844,-0.3307,4384869.4,35797480.86,247579494.88,1.2864,0.9724,0.9081,2.5238,0.9263,1.6895,0.5227,10089195.36,46373780.22,,-427756184.5581,-430450669.3681,727704136.06,53835244.06,763485535.09,566976834.6,1585334141.23,416487585.12,946457481.16,2501712297.86,-138454262.29,0.0715,3.1104,-0.2478,-0.2463,-0.5063,0.0825,-0.761,-0.7658,1.3674,14.5097,85.4903,12.5957,1.3674,2.324,9.2834,0.9883,-0.1928,99.4087,1.6009,2.7178,2.3397,2.35,2.0844,1.4205,0.7147,1.5454,3.1196,1.894,47.0578,1.8889,1.9009,56.9761,43.0239,48.2855,30.5185,69.8872,94.1203,5.8797,-0.0958,0.8889,1.1316,2.29,1.0261,2.0764,2.7961,-0.0902,185.8735,0.9529,1.2308,1189960330.99,1.691,2.0371,101.279,-0.1867,-0.2916,-0.3406,-6.5252,155.9906,155.9906,-104.4554,129.5514,137.7646,163.972,137.01,-133.611,143.3927,3.6662,1.1433,3.6692,31.2481,31.2481,15.7141,-159.4495,47.4257
002708.SZ,20240829,20240630,0.0773,0.0773,1.9993,1.9993,2.3523,0.0844,-0.3249,2548803.33,40900699.09,180338431.99,1.2932,0.9878,0.9389,1.6921,0.6093,1.1019,0.3431,17539832.76,42353640.86,137354059.45,-195942814.88,-171806573.8,748544810.38,58146993.85,747686027.03,465513593.88,1581846207.7,425251515.42,844689898.91,2497163963.13,-135187110.13,0.0773,3.1163,-0.1802,-0.2405,-0.3653,0.0753,-0.3486,-0.3057,3.0744,16.0474,83.9526,12.9,3.0744,2.4727,9.5399,0.8874,-0.3557,98.4392,2.8376,3.7688,2.5275,2.54,2.3792,1.2932,1.055,1.7471,5.055,2.5864,47.0474,1.8885,1.9051,56.7642,43.2358,47.8788,29.9414,70.1466,93.2949,6.7051,-0.0699,0.8885,1.1269,2.3428,1.0177,2.1157,3.3981,-0.0652,186.3874,2.11,1.3267,1207177670.95,2.8732,2.7745,99.4813,1.1319,1.0977,0.4421,-2.0293,198.0964,198.0964,-15.4388,152.4335,167.3317,212.0702,158.32,-31.8763,177.395,3.8628,1.7781,3.8649,41.0642,41.0642,24.955,-68.21,44.8028
002708.SZ,20240430,20240331,0.0424,0.0424,1.0137,1.0137,2.3146,0.0844,-0.3598,1957234.28,21894496.87,92765664.11,1.2976,1.0098,0.9058,0.8989,0.3107,0.5605,0.1756,14666384.77,34142604.04,,-174021264.5193,-155780927.0793,790461422.34,98569767.43,672100147.27,202338772.52,1546774331.22,425504353.13,594981238.03,2354792596.74,-154784881.4,0.0424,3.0442,-0.1602,-0.2754,-0.0866,0.0607,-0.3096,-0.2771,3.5236,16.2799,83.7201,12.2146,3.5236,2.1794,9.2611,0.7741,-0.4848,97.4261,4.2464,5.9919,1.404,1.16,1.2888,1.0522,0.6187,1.1963,5.616,4.2088,48.1263,1.9278,1.9102,57.1919,42.8081,47.6837,28.5418,72.6654,91.581,8.419,-0.063,0.9278,1.0961,2.5459,0.9908,2.3014,7.6445,-0.0577,176.271,2.4748,0.735,1158357732.67,4.2738,2.1794,97.4261,1.404,1.2888,0.6187,-15.8037,339.548,339.548,-157.1429,225.331,458.124,373.1427,154.6,-193.75,297.7899,1.4598,-0.0713,1.4601,61.278,61.278,61.278,140.6759,38.0974
