ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300503.SZ,20241231,转台、直线电机、减速器等功能部件,P,183377535.06,62141377.06,121236158.0,CNY
300503.SZ,20241231,转台,P,183377535.06,62141377.06,121236158.0,CNY
300503.SZ,20241231,其他业务,P,11167201.69,2991263.37,8175938.32,CNY
300503.SZ,20241231,主轴整机,P,683554022.42,235471445.91,448082576.51,CNY
300503.SZ,20241231,主轴,P,683554022.42,235471445.91,448082576.51,CNY
300503.SZ,20240630,零配件及维修,P,54431772.94,12422370.09,42009402.85,CNY
300503.SZ,20240630,运动控制产品,P,164914066.41,66135858.48,98778207.93,CNY
300503.SZ,20240630,转台、直线电机、减速器等功能部件,P,89356155.96,32827411.15,56528744.81,CNY
300503.SZ,20240630,转台,P,89356155.96,32827411.15,56528744.81,CNY
300503.SZ,20240630,其他业务收入,P,4453289.41,3757572.27,695717.14,CNY
300503.SZ,20240630,其他业务,P,4453289.41,3757572.27,695717.14,CNY
300503.SZ,20240630,主轴整机,P,302549942.37,118424715.31,184125227.06,CNY
300503.SZ,20240630,主轴,P,302549942.37,118424715.31,184125227.06,CNY
002896.SZ,20251231,配件,P,7556759.51,1090734.29,6466025.22,CNY
002896.SZ,20251231,精密减速器,P,252360374.42,54109021.99,198251352.43,CNY
002896.SZ,20251231,智能执行单元,P,391674571.11,98244162.55,293430408.56,CNY
002896.SZ,20251231,减速电机,P,373487349.13,116607356.51,256879992.62,CNY
002896.SZ,20251231,其他业务,P,15813283.68,1649030.22,14164253.46,CNY
002896.SZ,20250630,配件,P,4108844.45,323122.44,3785722.01,CNY
002896.SZ,20250630,精密减速器,P,115638490.67,27288893.14,88349597.53,CNY
002896.SZ,20250630,智能执行单元,P,198613812.11,53703106.29,144910705.82,CNY
002896.SZ,20250630,减速电机,P,190952230.01,61129722.48,129822507.53,CNY
002896.SZ,20250630,其他业务,P,6704708.07,709667.62,5995040.45,CNY
002896.SZ,20241231,配件,P,5939817.39,581602.31,5358215.08,CNY
002896.SZ,20241231,精密减速器,P,242551909.71,56414827.53,186137082.18,CNY
002896.SZ,20241231,智能执行单元,P,370217648.31,95793429.23,274424219.08,CNY
002896.SZ,20241231,减速电机,P,345365270.39,98593612.72,246771657.67,CNY
002896.SZ,20241231,其他业务,P,12268343.29,1518803.54,10749539.75,CNY
002896.SZ,20240630,配件,P,2388079.98,73739.0,2314340.98,CNY
002896.SZ,20240630,精密减速器,P,126445227.35,27032673.44,99412553.91,CNY
002896.SZ,20240630,智能执行单元,P,206105346.68,52249250.26,153856096.42,CNY
002896.SZ,20240630,减速电机,P,164765736.91,43931683.96,120834052.95,CNY
002896.SZ,20240630,其他业务,P,5780434.64,747992.41,5032442.23,CNY
603270.SH,20251231,边角料,P,173769031.93,9384070.76,164384961.17,CNY
603270.SH,20251231,轴承保持架,P,834013166.03,312660186.19,521352979.84,CNY
603270.SH,20251231,汽车零部件,P,1007275885.49,202261153.61,805014731.88,CNY
603270.SH,20251231,其他主营业务,P,5409098.38,1718345.83,3690752.55,CNY
603270.SH,20250630,轴承保持架,P,427221683.75,173350242.92,253871440.83,CNY
