month,main_raw_bond_rows,main_evaluable_trades,main_wins,main_win_rate,main_avg_return_pct,observation_raw_bond_rows,observation_evaluable_trades,observation_wins,observation_win_rate,observation_avg_return_pct
2026-01,6,6,2,33.3333,-0.7322,135,109,66,60.5505,0.3815
2026-02,0,0,0,,,0,0,0,,
2026-03,1,1,1,100.0,1.6715,44,40,22,55.0,0.1766
2026-04,2,1,1,100.0,2.5354,32,25,25,100.0,2.508
2026-05,0,0,0,,,14,9,2,22.2222,-2.1329
2026-06,13,12,12,100.0,5.4423,28,21,20,95.2381,3.3175
