month,trade_days,pick_days,trigger_stock_days,raw_bond_rows,evaluable_trades,wins,win_rate,avg_return_pct,median_return_pct
2026-01,20,1,8,6,6,2,33.3333,-0.7322,-1.9056
2026-02,14,0,0,0,0,0,,,
2026-03,22,1,2,1,1,1,100.0,1.6715,1.6715
2026-04,21,1,2,2,1,1,100.0,2.5354,2.5354
2026-05,18,0,3,0,0,0,,,
2026-06,21,1,2,13,12,12,100.0,5.4423,3.2996
