ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,total_mv,circ_mv
002896.SZ,20260702,77.84,8.4891,1.33,243.9532,271.3745,12.6968,14.6964,1529732.6968,1529732.6968
002896.SZ,20260701,76.36,6.5339,1.05,239.3148,266.2148,12.4554,14.4169,1500647.3372,1500647.3372
002896.SZ,20260630,76.38,7.2786,1.18,239.3775,266.2845,12.4587,14.4207,1501040.3826,1501040.3826
002896.SZ,20260629,71.76,5.7566,0.88,224.8982,250.1777,11.7051,13.5484,1410246.8952,1410246.8952
002896.SZ,20260626,70.3,4.7632,0.64,220.3226,245.0877,11.4669,13.2728,1381554.581,1381554.581
002896.SZ,20260625,73.04,7.491,1.07,228.9098,254.6402,11.9139,13.7901,1435401.8008,1435401.8008
002896.SZ,20260624,76.87,5.7628,0.79,240.9132,267.9928,12.5386,14.5132,1510669.9949,1510669.9949
002896.SZ,20260623,79.29,6.9957,0.95,248.4975,276.4297,12.9333,14.9701,1558228.4883,1558228.4883
002896.SZ,20260622,79.67,7.7202,0.98,249.6885,277.7545,12.9953,15.0419,1565696.3509,1565696.3509
002896.SZ,20260618,82.3,8.9869,1.11,257.931,286.9235,13.4243,15.5384,1617381.821,1617381.821
002896.SZ,20260617,79.69,5.6935,0.6,249.7511,277.8242,12.9986,15.0456,1566089.3963,1566089.3963
002896.SZ,20260616,80.51,7.2285,0.65,252.321,280.683,13.1323,15.2005,1582204.2577,1582204.2577
002896.SZ,20260615,80.41,7.353,0.52,252.0076,280.3343,13.116,15.1816,1580239.0307,1580239.0307
002896.SZ,20260612,78.28,10.1902,0.68,245.3321,272.9085,12.7686,14.7794,1538379.6956,1538379.6956
002896.SZ,20260611,81.56,10.1906,0.7,255.6117,284.3436,13.3036,15.3987,1602838.8965,1602838.8965
002896.SZ,20260610,90.62,12.5701,0.85,284.0061,315.9295,14.7814,17.1092,1780888.4355,1780888.4355
002896.SZ,20260609,90.69,15.5263,1.15,284.2255,316.1736,14.7928,17.1225,1782264.0942,1782264.0942
002896.SZ,20260608,95.2,21.8571,2.13,298.3599,331.8968,15.5285,17.974,1870895.8184,1870895.8184
