cutoff,cutoff_td,future_td,hit,ic,n,rank_ic,universe_size
2025-01-31,2025-01-27,2025-03-04,0,0,4,0,4
2025-02-28,2025-02-28,2025-03-28,0,0,4,0,4
2025-03-31,2025-03-31,2025-04-29,0,0,4,0,4
2025-04-30,2025-04-30,2025-06-03,0,0,4,0,4
2025-05-31,2025-05-30,2025-06-30,0,0,4,0,4
2025-06-30,2025-06-30,2025-07-28,0,0,4,0,4
2025-07-31,2025-07-31,2025-08-28,0,0,4,0,4
2025-08-31,2025-08-29,2025-09-26,0,0,4,0,4
2025-09-30,2025-09-30,2025-11-05,0,0,4,0,4
