trade_date,month,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_code,stk_name,matched_concepts,quality_tier,quality_tier_reason,risk_notes,open,close,return_pct
2026-01-05,2026-01,7,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113697.SH,应流转债,603308,应流股份,金属制品,B,概念竞价强度0.05%,成交额偏低2.6万；剩余规模15.00亿,192.63,201.149,4.4225
2026-01-05,2026-01,9,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),118009.SH,华锐转债,688059,华锐精密,金属制品,B,概念竞价强度0.05%,强赎中；成交额偏低1.8万；退市日期2026-02-03,139.3,137.929,-0.9842
2026-01-05,2026-01,10,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123215.SZ,铭利转债,301268,铭利达,金属制品,B,概念竞价强度0.05%,成交额偏低0.4万,131.495,133.645,1.635
2026-01-05,2026-01,11,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123239.SZ,锋工转债,300488,恒锋工具,金属制品,B,概念竞价强度0.05%,强赎中；成交额偏低0.4万；退市日期2026-04-09,154.59,155.76,0.7568
2026-01-05,2026-01,17,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123112.SZ,万讯转债,300112,万讯自控,太赫兹,B,概念竞价强度0.01%,成交额偏低0.3万,137.2,138.33,0.8236
2026-01-12,2026-01,20,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),110070.SH,凌钢转债,600231,凌钢股份,央企国企改革,C,概念竞价强度-0.00%,公告到期赎回；成交额偏低0.3万；退市日期2026-04-13,127.01,128.795,1.4054
2026-01-12,2026-01,21,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),110073.SH,国投转债,600061,国投资本,央企国企改革,C,概念竞价强度-0.00%,公告到期赎回；成交额偏低3.3万；剩余规模79.99亿；退市日期2026-07-24,114.987,116.001,0.8818
2026-01-12,2026-01,22,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),110075.SH,南航转债,600029,南方航空,央企国企改革,C,概念竞价强度-0.00%,成交额偏低2.7万；剩余规模58.96亿,136.699,136.549,-0.1097
2026-01-12,2026-01,29,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),113045.SH,环旭转债,601231,环旭电子,WiFi6,C,概念竞价强度-0.02%,强赎中；成交额偏低7.8万；退市日期2026-01-29,155.0,153.037,-1.2665
2026-01-12,2026-01,30,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),113051.SH,节能转债,601016,节能风电,央企国企改革,C,概念竞价强度-0.00%,成交额偏低1.1万；剩余规模26.52亿,123.67,124.792,0.9073
2026-01-12,2026-01,32,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),113688.SH,国检转债,603060,国检集团,央企国企改革,C,概念竞价强度-0.00%,成交额偏低0.4万,134.85,137.038,1.6225
2026-01-12,2026-01,33,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),118022.SH,锂科转债,688779,五矿新能,央企国企改革,C,概念竞价强度-0.00%,成交额偏低1.2万；剩余规模32.50亿,123.998,124.907,0.7331
2026-01-12,2026-01,37,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),123241.SZ,欧通转债,300870,欧陆通,WiFi6,C,概念竞价强度-0.02%,成交额偏低10.8万,675.0,654.3,-3.0667
2026-01-12,2026-01,38,"烽火通信(600498,封单8.64亿)",央企国企改革(-0.0012)、WiFi6(-0.0163),123262.SZ,神宇转债,300563,神宇股份,WiFi6,C,概念竞价强度-0.02%,成交额偏低4.0万,159.5,163.68,2.6207
2026-01-15,2026-01,1,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),127038.SZ,国微转债,002049,紫光国微,数字货币、移动支付,A,概念竞价强度0.15%,成交额偏低25.9万；剩余规模14.92亿,157.0,151.339,-3.6057
2026-01-15,2026-01,4,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),123157.SZ,科蓝转债,300663,科蓝软件,数字货币、移动支付,A,概念竞价强度0.15%,成交额偏低1.0万,159.8,154.574,-3.2703
2026-01-15,2026-01,5,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),123196.SZ,正元转02,300645,正元智慧,数字货币、移动支付,A,概念竞价强度0.15%,成交额偏低0.4万,142.202,140.262,-1.3643
2026-01-15,2026-01,7,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),110074.SH,精达转债,600577,精达股份,移动支付,A,概念竞价强度0.15%,成交额偏低12.7万,486.7,513.783,5.5646
2026-01-15,2026-01,8,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),118021.SH,新致转债,688590,新致软件,数字货币,A,概念竞价强度0.13%,强赎中；成交额偏低7.2万；退市日期2026-03-25,300.326,292.977,-2.447
2026-01-15,2026-01,9,"紫光国微(002049,封单11.71亿)",移动支付(0.1483)、数字货币(0.126),118057.SH,甬矽转债,688362,甬矽电子,数字货币,A,概念竞价强度0.13%,强赎中；成交额偏低13.4万；退市日期2026-06-16,245.0,246.787,0.7294
2026-01-19,2026-01,3,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110074.SH,精达转债,600577,精达股份,机器人概念、股权转让(并购重组),B,概念竞价强度0.01%,成交额偏低12.4万,530.6,551.996,4.0324
2026-01-19,2026-01,9,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),113698.SH,凯众转债,603037,凯众股份,机器人概念、股权转让(并购重组),B,概念竞价强度0.01%,成交额偏低1.8万,181.08,183.183,1.1614
2026-01-19,2026-01,13,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),123054.SZ,思特转债,300608,思特奇,机器人概念、股权转让(并购重组),B,概念竞价强度0.01%,强赎中；成交额偏低0.3万；退市日期2026-06-09,151.999,151.2,-0.5257
2026-01-19,2026-01,20,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),127061.SZ,美锦转债,000723,美锦能源,机器人概念、股权转让(并购重组),B,概念竞价强度0.01%,成交额偏低1.1万；剩余规模27.89亿,119.8,121.325,1.273
2026-01-19,2026-01,22,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),128101.SZ,联创转债,002036,联创电子,机器人概念、股权转让(并购重组),B,概念竞价强度0.01%,公告到期赎回；成交额偏低0.6万；退市日期2026-03-17,129.499,129.0,-0.3853
2026-01-19,2026-01,37,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110081.SH,闻泰转债,600745,*ST闻泰,股权转让(并购重组),B,概念竞价强度0.01%,成交额偏低1.8万；剩余规模80.63亿,117.3,116.883,-0.3555
2026-01-19,2026-01,39,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110089.SH,兴发转债,600141,兴发集团,机器人概念,B,概念竞价强度0.00%,强赎中；成交额偏低4.4万；退市日期2026-03-04,144.05,147.969,2.7206
2026-01-19,2026-01,40,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110090.SH,爱迪转债,600933,爱柯迪,机器人概念,B,概念竞价强度0.00%,成交额偏低1.0万；剩余规模15.70亿,146.51,149.0,1.6995
2026-01-19,2026-01,42,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),110093.SH,神马转债,600810,神马股份,股权转让(并购重组),B,概念竞价强度0.01%,成交额偏低0.7万；剩余规模22.20亿,136.92,137.373,0.3309
2026-01-19,2026-01,48,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),111000.SH,起帆转债,605222,起帆电缆,机器人概念,B,概念竞价强度0.00%,成交额偏低8.0万,140.757,143.961,2.2763
2026-01-19,2026-01,49,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),111004.SH,明新转债,605068,明新旭腾,机器人概念,B,概念竞价强度0.00%,成交额偏低0.6万,139.23,140.4,0.8403
2026-01-19,2026-01,50,"锋龙股份(002931,封单12.93亿)",股权转让(并购重组)(0.0051)、机器人概念(0.0028),111005.SH,富春转债,605189,富春染织,机器人概念,B,概念竞价强度0.00%,强赎中；成交额偏低0.7万；退市日期2026-05-29,163.338,165.943,1.5949
2026-01-20,2026-01,1,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",其他电子(0.062)、其他电子Ⅲ(0.062),118035.SH,国力转债,688103,国力电子,其他电子、其他电子Ⅲ,B,概念竞价强度0.06%,成交额偏低0.3万,152.66,152.006,-0.4284
2026-01-20,2026-01,2,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",其他电子(0.062)、其他电子Ⅲ(0.062),118060.SH,瑞可转债,688800,瑞可达,其他电子、其他电子Ⅲ,B,概念竞价强度0.06%,成交额偏低1.0万,194.33,191.458,-1.4779
2026-01-20,2026-01,5,"盈方微(000670,封单7.28亿)、江化微(603078,封单7.18亿)",其他电子(0.062)、其他电子Ⅲ(0.062),128137.SZ,洁美转债,002859,洁美科技,其他电子、其他电子Ⅲ,B,概念竞价强度0.06%,强赎中；成交额偏低1.8万,150.351,148.0,-1.5637
2026-01-23,2026-01,26,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110073.SH,国投转债,600061,国投资本,行业龙头,B,概念竞价强度0.00%,公告到期赎回；成交额偏低2.0万；剩余规模79.99亿；退市日期2026-07-24,112.699,112.829,0.1154
2026-01-23,2026-01,27,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110081.SH,闻泰转债,600745,*ST闻泰,行业龙头,B,概念竞价强度0.00%,成交额偏低3.6万；剩余规模80.63亿,117.257,118.429,0.9995
2026-01-23,2026-01,29,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110084.SH,贵燃转债,600903,贵州燃气,行业龙头,B,概念竞价强度0.00%,成交额偏低0.8万,130.438,130.444,0.0046
2026-01-23,2026-01,30,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),110085.SH,通22转债,600438,通威股份,行业龙头,B,概念竞价强度0.00%,成交额偏低2.3万；剩余规模119.83亿,123.84,124.373,0.4304
2026-01-23,2026-01,44,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113046.SH,金田转债,601609,金田股份,2025年报预增,C,概念竞价强度-0.03%,成交额偏低1.1万；剩余规模14.99亿,155.196,150.918,-2.7565
2026-01-23,2026-01,45,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113053.SH,隆22转债,601012,隆基绿能,行业龙头,B,概念竞价强度0.00%,成交额偏低7.5万；剩余规模69.95亿,133.97,138.065,3.0567
2026-01-23,2026-01,46,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113058.SH,友发转债,601686,友发集团,2025年报预增,C,概念竞价强度-0.03%,成交额偏低1.6万；剩余规模18.64亿,160.79,163.462,1.6618
2026-01-23,2026-01,48,"明阳智能(601615,封单13.95亿)",行业龙头(0.0016)、2025年报预增(-0.025),113067.SH,燃23转债,601139,深圳燃气,行业龙头,B,概念竞价强度0.00%,成交额偏低0.7万；剩余规模30.00亿,131.477,131.854,0.2867
2026-01-26,2026-01,7,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),113691.SH,和邦转债,603077,和邦生物,金属铅,B,概念竞价强度0.02%,成交额偏低8.0万；剩余规模45.99亿,161.0,153.859,-4.4354
2026-01-26,2026-01,8,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123180.SZ,浙矿转债,300837,浙矿股份,金属铅,B,概念竞价强度0.02%,成交额偏低37.6万,191.0,184.2,-3.5602
2026-01-26,2026-01,12,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),127070.SZ,大中转债,001203,大中矿业,金属铅,B,概念竞价强度0.02%,成交额偏低35.1万,400.0,400.66,0.165
2026-01-26,2026-01,16,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),113601.SH,塞力转债,603716,塞力医疗,脑机接口,B,概念竞价强度0.04%,强赎中；成交额偏低18.1万；退市日期2026-04-10,258.0,261.232,1.2527
2026-01-26,2026-01,23,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123108.SZ,乐普转2,300003,乐普医疗,脑机接口,B,概念竞价强度0.04%,公告到期赎回；成交额偏低0.6万；退市日期2026-03-30,109.899,108.653,-1.1338
2026-01-26,2026-01,24,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123157.SZ,科蓝转债,300663,科蓝软件,脑机接口,B,概念竞价强度0.04%,成交额偏低0.6万,156.5,153.142,-2.1457
2026-01-26,2026-01,27,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123237.SZ,佳禾转债,300793,佳禾智能,脑机接口,B,概念竞价强度0.04%,成交额偏低0.6万,171.257,163.34,-4.6229
2026-01-26,2026-01,28,"湖南黄金(002155,封单44.43亿)、天奇股份(002009,封单7.32亿)",脑机接口(0.0387)、金属铅(0.0218),123254.SZ,亿纬转债,300014,亿纬锂能,脑机接口,B,概念竞价强度0.04%,强赎中；成交额偏低4.1万；退市日期2026-05-07,172.99,168.5,-2.5955
2026-03-02,2026-03,2,"洲际油气(600759,封单17.36亿)",海南(0.1935)、海南自贸区(0.1894),118063.SH,金05转债,688676,金盘科技,海南、海南自贸区,A,概念竞价强度0.19%,成交额偏低1.1万；剩余规模16.71亿,193.0,196.226,1.6715
2026-03-04,2026-03,10,"佰维存储(688525,封单8.09亿)",近期并购重组(0.0109)、AI PC(0.0018),110075.SH,南航转债,600029,南方航空,近期并购重组,B,概念竞价强度0.01%,成交额偏低2.6万；剩余规模58.96亿,131.5,129.218,-1.7354
2026-03-04,2026-03,11,"佰维存储(688525,封单8.09亿)",近期并购重组(0.0109)、AI PC(0.0018),110081.SH,闻泰转债,600745,*ST闻泰,AI PC,B,概念竞价强度0.00%,成交额偏低2.2万；剩余规模80.63亿,114.788,114.914,0.1098
2026-03-04,2026-03,13,"佰维存储(688525,封单8.09亿)",近期并购重组(0.0109)、AI PC(0.0018),110092.SH,三房转债,600370,*ST三房,近期并购重组,B,概念竞价强度0.01%,成交额偏低1.7万；剩余规模21.19亿,101.88,102.594,0.7008
2026-03-04,2026-03,14,"佰维存储(688525,封单8.09亿)",近期并购重组(0.0109)、AI PC(0.0018),110097.SH,天润转债,600419,天润乳业,近期并购重组,B,概念竞价强度0.01%,成交额偏低0.8万,148.451,148.035,-0.2802
2026-03-04,2026-03,15,"佰维存储(688525,封单8.09亿)",近期并购重组(0.0109)、AI PC(0.0018),110098.SH,南药转债,600713,南京医药,近期并购重组,B,概念竞价强度0.01%,成交额偏低1.1万；剩余规模10.81亿,136.79,134.888,-1.3905
2026-03-04,2026-03,18,"佰维存储(688525,封单8.09亿)",近期并购重组(0.0109)、AI PC(0.0018),111001.SH,山玻转债,605006,山东玻纤,近期并购重组,B,概念竞价强度0.01%,强赎中；成交额偏低1.6万；退市日期2026-07-07,137.501,139.871,1.7236
