list_type,cb_code,cb_name,stk_code,stk_name,quality_tier,theme_score,matched_concepts,trigger_sources,relation_reason,premium_rate,cb_amount,remain_size_yi,risk_notes,quality_tier_reason,observation_reason
主买,113606.SH,荣泰转债,603579,荣泰健康,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2025-09-12,概念竞价强度0.60%,
主买,113612.SH,永冠转债,603681,永冠新材,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,退市日期2021-09-10,概念竞价强度0.60%,
主买,113623.SH,凤21转债,603225,新凤鸣,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-03-11,概念竞价强度0.60%,
主买,113628.SH,晨丰转债,603685,晨丰科技,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2025-11-21,概念竞价强度0.60%,
主买,113630.SH,赛伍转债,603212,赛伍技术,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2022-08-01,概念竞价强度0.60%,
主买,113638.SH,台21转债,603055,台华新材,A,117.0784,长三角一体化,002635,命中长三角一体化,,,6.0,,概念竞价强度0.60%,
主买,113641.SH,华友转债,603799,华友钴业,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2025-09-29,概念竞价强度0.60%,
主买,113653.SH,永22转债,603681,永冠新材,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-04-22,概念竞价强度0.60%,
主买,113667.SH,春23转债,603890,春秋电子,A,117.0784,消费电子,002635,命中消费电子,,,5.7,,概念竞价强度0.50%,
主买,113672.SH,福蓉转债,603327,福蓉科技,A,117.0784,消费电子,002635,命中消费电子,,,0.0,强赎中；退市日期2026-01-29,概念竞价强度0.50%,
主买,113676.SH,荣23转债,603165,荣晟环保,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-03-25,概念竞价强度0.60%,
主买,113679.SH,芯能转债,603105,芯能科技,A,117.0784,长三角一体化,002635,命中长三角一体化,,,8.8,,概念竞价强度0.60%,
主买,113686.SH,泰瑞转债,603289,泰瑞机器,A,117.0784,长三角一体化,002635,命中长三角一体化,,,3.36,,概念竞价强度0.60%,
主买,118038.SH,金宏转债,688106,金宏气体,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2026-04-29,概念竞价强度0.60%,
主买,118043.SH,福立转债,688678,福立旺,A,117.0784,消费电子,002635,命中消费电子,,,0.0,强赎中；退市日期2026-02-11,概念竞价强度0.50%,
主买,118066.SH,统联转债,688210,统联精密,A,117.0784,消费电子,002635,命中消费电子,,,5.76,,概念竞价强度0.50%,
主买,123003.SZ,蓝思转债,300433,蓝思科技,A,117.0784,消费电子,002635,命中消费电子,,,0.0,退市日期2020-02-19,概念竞价强度0.50%,
主买,123077.SZ,汉得转债,300170,汉得信息,A,117.0784,长三角一体化,002635,命中长三角一体化,,,0.0,强赎中；退市日期2023-05-11,概念竞价强度0.60%,
主买,123081.SZ,精研转债,300709,精研科技,A,117.0784,消费电子,002635,命中消费电子,,,0.0,退市日期2021-12-28,概念竞价强度0.50%,
主买,123100.SZ,朗科转债,300543,朗科智能,A,117.0784,消费电子,002635,命中消费电子,,,0.0,强赎中；退市日期2025-04-16,概念竞价强度0.50%,
