trigger_stock_code,trigger_stock_name,fd_amount_yi,first_time,last_time,open_times,industry,limit_stat,trigger_data_source
002635,安洁科技,7.08,09:25:00,09:25:00,0,消费电子,1/1,eastmoney_zt_pool
002559,亚威股份,5.12,09:25:00,09:25:00,0,通用设备,4/2,eastmoney_zt_pool
