ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
002708.SZ,20210630,同步器行星排产品,P,232968700.46,5516369.8,227452330.66,CNY
002708.SZ,20210630,同步器,P,232968700.46,5516369.8,227452330.66,CNY
002708.SZ,20210630,其他业务,P,57469952.42,11601735.24,45868217.18,CNY
002708.SZ,20201231,轴承产品,P,723425190.28,158863958.66,564561231.62,CNY
002708.SZ,20201231,毛坯加工,P,224709377.05,52986238.87,171723138.18,CNY
002708.SZ,20201231,毛坯,P,224709377.05,52986238.87,171723138.18,CNY
002708.SZ,20201231,同步器行星排产品,P,389868194.52,36024690.4,353843504.12,CNY
002708.SZ,20201231,同步器,P,389868194.52,36024690.4,353843504.12,CNY
002708.SZ,20201231,其他业务,P,96253572.04,20232869.03,76020703.01,CNY
002708.SZ,20200630,轴承产品,P,336980521.94,79000875.42,257979646.52,CNY
002708.SZ,20200630,毛坯加工,P,98807472.92,21300532.99,77506939.93,CNY
002708.SZ,20200630,毛坯,P,98807472.92,21300532.99,77506939.93,CNY
002708.SZ,20200630,同步器行星排产品,P,161999308.44,6927892.61,155071415.83,CNY
002708.SZ,20200630,同步器,P,161999308.44,6927892.61,155071415.83,CNY
002708.SZ,20200630,其他业务,P,39290431.79,10271981.8,29018449.99,CNY
