ts_code,name,trade_date,q,a,pub_time,industry
002708.SZ,光洋股份,20251120,请问董秘，公司的柔性电路业务发展得如何？前景怎么样？,您好，公司线路板业务主要研发制造应用于消费电子和新能源汽车中各类FPCB板，随着消费电子技术迭代持续突破，以及汽车电子零部件市场需求持续攀升，线路板业务市场广阔。公司FPC及RFPC产品以高多层Anylayer 的HDI产品为主，产品应用覆盖智能手机、AI眼镜等智能穿戴、平板电脑、汽车电子、机器人感应模组等领域，目前公司业务增量明显，并且随着海外市场份额的不断提升以及国内市场的突破，公司FPC板块盈利能力将持续改善。感谢您的关注！,2025-11-26 16:34:00,制造业
002708.SZ,光洋股份,20251111,请问光洋机器人公司主要产品会覆盖哪些？是什么样的规划方向？谢谢,您好，公司聚焦机器人关节模组和感应模组相关零部件，同时加强集成化产品的研发制造，公司设立黄山光洋机器人有限公司作为独立运营主体，是加速公司机器人用精密零部件项目研发进程和业务布局的重要举措，感谢您的关注！,2025-11-14 16:55:41,制造业
002708.SZ,光洋股份,20251111,投资者很高兴看到公司在人形机器人领域的布局在不断加码，能不能综合概述下公司在人形机器人领域的核心是哪些东西？相关项目产品是否是人形机器人关键环节？谢谢,您好，公司主要聚焦机器人关节模组和感应模组领域，包括各类标准轴承、交叉滚子轴承、行星齿轮、滚珠丝杠、行星滚柱丝杠及电路板产品，是机器人的关键组成部分。目前公司通过资本与产业双向合作的方式加速布局机器人业务，同时加强集成化产品的研发制造，感谢您的关注！,2025-11-14 16:59:47,制造业
002708.SZ,光洋股份,20251111,小鹏人形机器人已出，请问公司主要提供哪些人形机器人产品？谢谢,您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，各类型机器人均可适配，感谢您的关注。,2025-11-14 17:00:41,制造业
002708.SZ,光洋股份,20251111,公司刚入股人形机器人逐际动力持股比例多少？谢谢,"您好，公司已向逐际动力支付2,000万元认购款，据工商登记信息显示，公司持有其0.6667%股权。",2025-11-14 16:57:00,制造业
002708.SZ,光洋股份,20251111,请问小鹏是不是公司重要客户？半年报披露的人形机器人头部客户关节模组项目产品已获量产定点，预计9月交付，现在已经11月份了，请问人形机器人该项目产品交付客户了没有？谢谢,您好，小鹏是公司核心客户之一。半年报披露的人形机器人头部客户关节模组齿轮项目按计划推进中，已经开始交付，感谢您的关注。,2025-11-14 16:58:32,制造业
002708.SZ,光洋股份,20251106,董秘你好，我想知道贵公司是否参加小鹏机器人的业务当中，参与度多少，包括哪些零部件的提供吗。,您好，公司积极布局机器人业务，聚焦机器人关节模组和感应模组相关零部件的研发制造，也投资了上下游相关企业，涉及具体项目信息，不便回复，感谢您的关注！,2025-11-10 16:57:39,制造业
002708.SZ,光洋股份,20251031,董秘您好！请问贵公司与苏州卓誉电气技术有限公司的具体合作事项有哪些？,"您好，公司在2025年第三季度报告中已对相关事项进行了披露，公司于2025年10月20日召开第二十七次执行委员会，审议通过向苏州卓誉电气技术有限公司（以下简称“卓誉科技”）进行股权投资并达成战略合作事项，同意公司向卓誉科技增资3,000万元，认购其6.5217%股权，同时在具身智能关节模组产品领域开展深度合作。目前卓誉科技尚处于量产的早期阶段，公司深耕制造业多年，可在产品制造方面赋能卓誉科技，为其生产关节模组中的轴承、齿轮、PCB板等零部件，进一步帮助卓誉科技降低采购成本，卓誉科技帮助公司补齐机电一体化中“电”的能力，更快向总成产品进行拓展。截至目前，公司已与相关方签署完成《增资协议》《股东协议》《战略合作协议》，后续公司将按照协议约定完成增资款的缴付并开展深度合作，感谢您的关注！",2025-11-05 16:23:08,制造业
002708.SZ,光洋股份,20251020,董秘您好，请问公司是否有创投相关业务？,您好，公司专注于各类新能源与燃油汽车精密零部件、高端工业装备、智能机器人零部件及电子线路板、电子元器件的研发、生产与销售，始终关注市场动态和行业趋势，寻求内生式增长和外延式扩张协调发展，提升公司综合竞争力。公司围绕主营业务开展了相关投资与布局，以现金方式对陕西大祺传感电子科技有限公司、深圳某科技有限公司进行增资，深化产业协作，形成良好的协同效应；同时，经公司第五届董事会第十六次会议及2025年第二次临时股东大会审议通过，公司拟作为有限合伙人，投资设立黄山建投富海光洋机器人产业基金合伙企业（有限合伙）（暂定名），拟借助各方资源及专业投资机构的力量，更有效率、更安全地进行产业投资的新尝试，目前该事项处于筹划设立阶段，具体内容详见公司披露的相关公告，谢谢。,2025-10-22 17:20:38,制造业
002708.SZ,光洋股份,20251015,目前公司产品在汽车领域与机器人领域，是如何布局规划的？,您好，公司秉行立足汽车、走出汽车的发展战略。立足汽车方面，公司始终坚定国产化替代与新能源汽车的战略方向，致力于向中高端、电动化、智能化、轻量化等方向转型升级；走出汽车方面，机器人是最主要的支点，公司充分运用在汽车零部件产品的技术、质量与量产管理优势，并通过资本和业务层面加大与机器人行业相关企业合作，密切关注行业技术发展趋势，聚焦机器人关节模组和感应模组相关零部件，同时加强集成化产品的研发制造。感谢您的关注！,2025-10-17 17:25:52,制造业
