code6,ts_code,status,fina_indicator,forecast,irm_qa,research_report,fina_mainbz,error_summary
688017,688017.SH,ok,13,2,75,28,53,
300503,300503.SZ,ok,9,4,417,1,213,
002896,002896.SZ,ok,12,0,21,8,124,
002472,002472.SZ,ok,12,8,45,49,297,
002050,002050.SZ,ok,10,4,322,55,232,
