ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type,code6
300503.SZ,20240630,零配件及维修,P,54431772.94,12422370.09,42009402.85,CNY,300503
300503.SZ,20240630,运动控制产品,P,164914066.41,66135858.48,98778207.93,CNY,300503
300503.SZ,20240630,转台、直线电机、减速器等功能部件,P,89356155.96,32827411.15,56528744.81,CNY,300503
300503.SZ,20240630,转台,P,89356155.96,32827411.15,56528744.81,CNY,300503
300503.SZ,20240630,其他业务收入,P,4453289.41,3757572.27,695717.14,CNY,300503
300503.SZ,20240630,其他业务,P,4453289.41,3757572.27,695717.14,CNY,300503
300503.SZ,20240630,主轴整机,P,302549942.37,118424715.31,184125227.06,CNY,300503
300503.SZ,20240630,主轴,P,302549942.37,118424715.31,184125227.06,CNY,300503
300503.SZ,20231231,零配件及维修,P,101473690.15,17373435.76,84100254.39,CNY,300503
300503.SZ,20231231,运动控制产品,P,382321270.6,143110309.83,239210960.77,CNY,300503
300503.SZ,20231231,转台、直线电机、减速器等功能部件,P,124753850.29,37439589.79,87314260.5,CNY,300503
300503.SZ,20231231,转台,P,124753850.29,37439589.79,87314260.5,CNY,300503
300503.SZ,20231231,其他收入-产品,P,6086797.45,100729.66,5986067.79,CNY,300503
300503.SZ,20231231,其他业务收入,P,6086797.45,100729.66,5986067.79,CNY,300503
300503.SZ,20231231,其他业务,P,6086797.45,100729.66,5986067.79,CNY,300503
300503.SZ,20231231,主轴整机,P,385644381.17,126505097.44,259139283.73,CNY,300503
300503.SZ,20231231,主轴,P,385644381.17,126505097.44,259139283.73,CNY,300503
300503.SZ,20230630,零配件及维修,P,40478020.54,,,CNY,300503
300503.SZ,20230630,运动控制产品,P,216448509.41,85657197.63,130791311.78,CNY,300503
300503.SZ,20230630,转台、直线电机、减速器等功能部件,P,52257397.36,,,CNY,300503
300503.SZ,20230630,转台,P,52257397.36,,,CNY,300503
300503.SZ,20230630,其他业务,P,355754.52,,,CNY,300503
300503.SZ,20230630,主轴整机,P,158527328.93,47793995.9,110733333.03,CNY,300503
300503.SZ,20230630,主轴,P,158527328.93,47793995.9,110733333.03,CNY,300503
300503.SZ,20221231,零配件及维修,P,106883183.98,27736315.13,79146868.85,CNY,300503
300503.SZ,20221231,运动控制产品,P,331628192.38,131394286.09,200233906.29,CNY,300503
300503.SZ,20221231,转台、直线电机、减速器等功能部件,P,112942459.27,36456766.49,76485692.78,CNY,300503
300503.SZ,20221231,转台,P,112942459.27,36456766.49,76485692.78,CNY,300503
300503.SZ,20221231,其他业务,P,8766258.77,8260224.36,506034.41,CNY,300503
300503.SZ,20221231,主轴整机,P,404701421.82,145284778.37,259416643.45,CNY,300503
300503.SZ,20221231,主轴,P,404701421.82,145284778.37,259416643.45,CNY,300503
300503.SZ,20220630,零配件及维修,P,56320395.53,22017487.99,34302907.54,CNY,300503
300503.SZ,20220630,运动控制产品,P,163711311.4,63733544.01,99977767.39,CNY,300503
300503.SZ,20220630,转台、直线电机、减速器等功能部件,P,51701833.87,16018020.07,35683813.8,CNY,300503
300503.SZ,20220630,转台,P,51701833.87,16018020.07,35683813.8,CNY,300503
300503.SZ,20220630,其他业务,P,698321.6,479653.25,218668.35,CNY,300503
300503.SZ,20220630,主轴整机,P,229004171.89,91875071.71,137129100.18,CNY,300503
300503.SZ,20220630,主轴,P,229004171.89,91875071.71,137129100.18,CNY,300503
300503.SZ,20211231,零配件及维修,P,124029221.66,55308780.47,68720441.19,CNY,300503
300503.SZ,20211231,运动控制产品,P,332055093.05,150418661.36,181636431.69,CNY,300503
300503.SZ,20211231,转台、直线电机、减速器等功能部件,P,50237873.67,17229074.94,33008798.73,CNY,300503
300503.SZ,20211231,转台,P,50237873.67,17229074.94,33008798.73,CNY,300503
300503.SZ,20211231,其他业务,P,8505967.55,7648099.22,857868.33,CNY,300503
300503.SZ,20211231,主轴整机,P,625459870.37,279745925.12,345713945.25,CNY,300503
300503.SZ,20211231,主轴,P,625459870.37,279745925.12,345713945.25,CNY,300503
300503.SZ,20210630,零配件及维修,P,76240215.82,34881077.67,41359138.15,CNY,300503
300503.SZ,20210630,运动控制产品,P,171819355.11,79829492.24,91989862.87,CNY,300503
300503.SZ,20210630,转台、直线电机、减速器等功能部件,P,20136597.37,5991814.08,14144783.29,CNY,300503
300503.SZ,20210630,转台,P,20136597.37,5991814.08,14144783.29,CNY,300503
300503.SZ,20210630,其他业务,P,390446.09,57535.8,332910.29,CNY,300503
300503.SZ,20210630,主轴整机,P,350230234.98,157389400.48,192840834.5,CNY,300503
300503.SZ,20210630,主轴,P,350230234.98,157389400.48,192840834.5,CNY,300503
300503.SZ,20201231,零配件及维修,P,85953896.33,31964297.45,53989598.88,CNY,300503
300503.SZ,20201231,运动控制产品,P,258517580.44,110382624.68,148134955.76,CNY,300503
300503.SZ,20201231,转台、直线电机、减速器等功能部件,P,168755524.6,96297874.04,72457650.56,CNY,300503
300503.SZ,20201231,转台,P,168755524.6,96297874.04,72457650.56,CNY,300503
300503.SZ,20201231,其他业务,P,689697.9,241645.01,448052.89,CNY,300503
300503.SZ,20201231,主轴整机,P,360460204.34,154157991.93,206302212.41,CNY,300503
300503.SZ,20201231,主轴,P,360460204.34,154157991.93,206302212.41,CNY,300503
300503.SZ,20200630,零配件及维修,P,36650773.71,12735087.81,23915685.9,CNY,300503
300503.SZ,20200630,运动控制产品,P,121501763.65,50778924.22,70722839.43,CNY,300503
300503.SZ,20200630,转台、直线电机、减速器等功能部件,P,147280744.04,87844948.02,59435796.02,CNY,300503
300503.SZ,20200630,转台,P,147280744.04,87844948.02,59435796.02,CNY,300503
300503.SZ,20200630,其他业务,P,216800.85,17360.69,199440.16,CNY,300503
300503.SZ,20200630,主轴整机,P,153189880.7,61957392.22,91232488.48,CNY,300503
300503.SZ,20200630,主轴,P,153189880.7,61957392.22,91232488.48,CNY,300503
300503.SZ,20191231,零配件及维修,P,83585745.52,28513685.34,55072060.18,CNY,300503
300503.SZ,20191231,转台、直线电机、减速器等功能部件,P,6411796.78,1330315.35,5081481.43,CNY,300503
300503.SZ,20191231,转台,P,6411796.78,1330315.35,5081481.43,CNY,300503
300503.SZ,20191231,其他业务,P,230582.74,10271.04,220311.7,CNY,300503
300503.SZ,20191231,主轴整机,P,261285891.25,105988117.48,155297773.77,CNY,300503
300503.SZ,20191231,主轴,P,261285891.25,105988117.48,155297773.77,CNY,300503
300503.SZ,20190630,零配件及维修,P,43994878.03,16973964.76,27020913.27,CNY,300503
300503.SZ,20190630,其他业务,P,1744055.93,681359.25,1062696.68,CNY,300503
300503.SZ,20190630,主轴整机,P,139814959.65,81879324.25,57935635.4,CNY,300503
